epic_id,manual_stage_f_label,manual_science_binary,training_label_v3,manual_reason,source_batch,source_review_csv,best_period_days,stage_f_label,stage_f_reason,reviewer,reviewed_at,phase_0_folded_path,phase_05_secondary_check_path,alias_period_comparison_path,odd_even_zoom_path,validation_summary_json_path
EPIC_211404127,promote_to_deeper_eval,science_like,candidate_like,strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support,batch2,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,18.613248512338032,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211404127\validation_summary.json
EPIC_211537297,hold_deeper_eval,unresolved,uncertain_hold,acceptable odd/even; no secondary; low OOT variability; modest depth/SNR; non-unique alias support,batch2,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,18.75653827464748,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211537297\validation_summary.json
EPIC_211598703,reject_as_noise_or_artifact,not_science_like,noise_or_artifact,catastrophic odd/even mismatch; weak primary SNR; suspicious short duration; noisy folded morphology; alias ambiguity,batch2,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,16.16143666474818,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.045 alias_risk=low oot_to_depth=0.337,OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211598703\validation_summary.json
EPIC_211746706,reject_as_noise_or_artifact,not_science_like,noise_or_artifact,odd/even depth mismatch; high OOT variability; noisy folded morphology; alias ambiguity,batch2,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,17.959520721076842,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.448 alias_risk=low oot_to_depth=0.672,OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211746706\validation_summary.json
EPIC_211759361,promote_to_deeper_eval,science_like,candidate_like,"good odd/even agreement, no phase-0.5 secondary, visible coherent primary, adequate event support; caveat moderate SNR, high OOT variability, and 2P/3 alias support",batch2,k2_stage_e_v3_recovery_batch2_visual_review_sheet.csv,14.608622348492643,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch2\EPIC_211759361\validation_summary.json
EPIC_211423229,reject_as_noise_or_artifact,not_science_like,noise_or_artifact,poor odd/even agreement; weak tiny primary; irregular non-transit morphology; weak/non-dominant alias support; low event-family support,batch3,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,12.54515116427524,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.250 alias_risk=low oot_to_depth=0.293,OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211423229\validation_summary.json
EPIC_211562803,hold_deeper_eval,unresolved,uncertain_hold,shallow/visually weak primary; only moderate SNR; borderline odd/even agreement; non-dominant alias support; messy low-amplitude folded morphology,batch3,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,12.40209570488514,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211562803\validation_summary.json
EPIC_211631955,hold_deeper_eval,unresolved,uncertain_hold,unclear primary transit; weak depth/SNR; poor odd/even agreement; high OOT variability; non-dominant alias support; noisy folded morphology,batch3,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,17.15240334661553,stage_f_reject,primary transit depth is not significant in cached folded light curve,OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211631955\validation_summary.json
EPIC_211791780,hold_deeper_eval,unresolved,uncertain_hold,unclear primary transit; shallow depth/moderate SNR; high OOT variability; borderline odd/even agreement; P/P2 alias ambiguity; noisy folded morphology,batch3,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,18.00028949379339,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211791780\validation_summary.json
EPIC_211821200,hold_deeper_eval,unresolved,uncertain_hold,not visually convincing; borderline odd/even agreement; moderate OOT variability; non-dominant alias support; folded morphology not clean enough for promotion,batch3,k2_stage_e_v3_recovery_batch3_visual_review_sheet.csv,16.794808524282416,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.480 alias_risk=low oot_to_depth=0.539,OC,2026-05-04,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch3\EPIC_211821200\validation_summary.json
EPIC_211306307,reject_as_noise_or_artifact,not_science_like,noise_or_artifact,severe odd/even depth mismatch; weak/moderate primary SNR; inconsistent parity morphology; not convincing as a clean planet-like signal,batch4,k2_stage_e_v3_recovery_batch4_visual_review_sheet.csv,14.91521162303252,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.211 alias_risk=low oot_to_depth=0.098,OC,2026-05-05,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211306307\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211306307\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211306307\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211306307\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211306307\validation_summary.json
EPIC_211409604,hold_deeper_eval,unresolved,uncertain_hold,some candidate-like signal but uncertain; borderline/poor odd-even agreement; high OOT variability; non-dominant alias support; not confident enough to promote,batch4,k2_stage_e_v3_recovery_batch4_visual_review_sheet.csv,16.284045151696773,stage_f_hold,ambiguous follow-up checks: odd_even_ratio=0.372 alias_risk=low oot_to_depth=1.223,OC,2026-05-05,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211409604\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211409604\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211409604\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211409604\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211409604\validation_summary.json
EPIC_211770415,hold_deeper_eval,unresolved,uncertain_hold,not visually clear; two-spike/weak-depth morphology; shallow primary; possible secondary-like structure by eye; non-dominant alias support; not confident enough to promote,batch4,k2_stage_e_v3_recovery_batch4_visual_review_sheet.csv,16.958293843759748,stage_f_planet_like,"survives secondary-eclipse, alias, odd/even, and OOT variability checks",OC,2026-05-05,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211770415\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211770415\phase_05_secondary_check.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211770415\alias_period_comparison.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211770415\odd_even_zoom.png,plots\k2_batch\stage_f_v3_recovery_batch4\EPIC_211770415\validation_summary.json
