epic_id,reconciliation_status,source_status,final_label
EPIC_211624954,inserted,manual_decision_supplied_in_update,uncertain_hold_positive
EPIC_211687388,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211768304,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211996306,inserted,manual_decision_supplied_in_update,reject_as_noise_or_artifact
EPIC_211959909,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211912465,inserted,manual_decision_supplied_in_update,reject_as_noise_or_artifact
EPIC_211485867,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211387236,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211889082,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211816343,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_212029934,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211351798,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
EPIC_211845034,inserted,completed_manual_review_found_locally; manual_label=variable_or_possible_eb; normalized_to=false_positive_eb_or_variable,false_positive_eb_or_variable
EPIC_211431812,inserted,manual_decision_supplied_in_update,reject_as_noise_or_artifact
EPIC_211696209,inserted,manual_decision_supplied_in_update,false_positive_eb_or_variable
