category,epic_id,manual_label,training_class,cnn_score,primary_depth_snr,odd_even_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_support_ratio,best_period_days,manual_reason
eb_variable_false_positive,EPIC_200008831,binary_system,false_positive_eb_or_variable,0.8340081572532654,8.535942614654859,,,,,6.109175422134285,Strong odd/even depth mismatch with ratio 0.350; high half-period alias risk; Stage F likely EB; noisy/unstable morphology; not planet-like.
low_cnn_score_manual_candidate_or_hold,EPIC_200008924,uncertain_hold,excluded_uncertain_hold,0.6653202772140503,8.33886143257409,,,,,2.9421663436151,"Weak primary SNR and Stage F rejected due to insignificant cached folded transit, but odd/even is not severe and no secondary eclipse is detected; hold for recheck rather than hard reject."
high_cnn_score_manual_reject,EPIC_211549072,noise_or_artifact,negative_noise_or_artifact,0.9907761216163635,86.28376206886168,,,,,,"Manual plot review does not show a convincing transit-like signal despite very high CNN morphology score. The numerical diagnostics are also unfavorable: shallow primary depth, modest primary SNR around 6.92, very long duration around 7.85 hours for P=1.20d, strong odd/even mismatch with ratio about 0.472 and explicit delta about 0.675, and half-period alias support. Stage F held the object as ambiguous, but manual review overrides the CNN morphology-positive score because the dips are not visually convincing and the signal is not planet-like."
high_snr_manual_reject,EPIC_211549072,noise_or_artifact,negative_noise_or_artifact,0.9907761216163635,86.28376206886168,,,,,,"Manual plot review does not show a convincing transit-like signal despite very high CNN morphology score. The numerical diagnostics are also unfavorable: shallow primary depth, modest primary SNR around 6.92, very long duration around 7.85 hours for P=1.20d, strong odd/even mismatch with ratio about 0.472 and explicit delta about 0.675, and half-period alias support. Stage F held the object as ambiguous, but manual review overrides the CNN morphology-positive score because the dips are not visually convincing and the signal is not planet-like."
high_cnn_score_manual_reject,EPIC_211995966,reject_as_noise_or_artifact,negative_reject_as_noise_or_artifact,0.8787158131599426,3.3663627933369327,,,,,1.144172771171725,"Weird / ambiguous noise: something but nothing. Stage F already rejected it because primary transit depth is not significant in cached folded light curve. Primary SNR is very weak: 2.73. Event support is thin: event_family_count = 3. Alias risk = moderate. Odd/even is good: ratio = 0.952, but weak primary detection dominates. CNN score = 0.879 is morphology-only and does not override Stage F rejection."
good_odd_even_manual_reject,EPIC_211995966,reject_as_noise_or_artifact,negative_reject_as_noise_or_artifact,0.8787158131599426,3.3663627933369327,,,,,1.144172771171725,"Weird / ambiguous noise: something but nothing. Stage F already rejected it because primary transit depth is not significant in cached folded light curve. Primary SNR is very weak: 2.73. Event support is thin: event_family_count = 3. Alias risk = moderate. Odd/even is good: ratio = 0.952, but weak primary detection dominates. CNN score = 0.879 is morphology-only and does not override Stage F rejection."
high_cnn_score_manual_reject,EPIC_211730838,binary_system,false_positive_eb_or_variable,0.9896190762519836,11.820047898454524,,,,,,"Strong coherent eclipsing signal with excellent odd/even consistency, ratio about 0.996 and explicit delta about 0.004, many repeated events, saved validation period support, low alias risk, and no significant secondary eclipse. However the primary depth is extremely large at about 0.099, implying radius ratio about 0.315, which is too deep for a typical planet-like candidate and is more consistent with an eclipsing binary, stellar companion, or blend. OOT variability is also non-trivial at about 0.27x transit depth. Reject from the planet candidate pipeline, but keep as a real eclipsing-signal / binary-system case rather than noise."
good_odd_even_manual_reject,EPIC_211730838,binary_system,false_positive_eb_or_variable,0.9896190762519836,11.820047898454524,,,,,,"Strong coherent eclipsing signal with excellent odd/even consistency, ratio about 0.996 and explicit delta about 0.004, many repeated events, saved validation period support, low alias risk, and no significant secondary eclipse. However the primary depth is extremely large at about 0.099, implying radius ratio about 0.315, which is too deep for a typical planet-like candidate and is more consistent with an eclipsing binary, stellar companion, or blend. OOT variability is also non-trivial at about 0.27x transit depth. Reject from the planet candidate pipeline, but keep as a real eclipsing-signal / binary-system case rather than noise."
eb_variable_false_positive,EPIC_211730838,binary_system,false_positive_eb_or_variable,0.9896190762519836,11.820047898454524,,,,,,"Strong coherent eclipsing signal with excellent odd/even consistency, ratio about 0.996 and explicit delta about 0.004, many repeated events, saved validation period support, low alias risk, and no significant secondary eclipse. However the primary depth is extremely large at about 0.099, implying radius ratio about 0.315, which is too deep for a typical planet-like candidate and is more consistent with an eclipsing binary, stellar companion, or blend. OOT variability is also non-trivial at about 0.27x transit depth. Reject from the planet candidate pipeline, but keep as a real eclipsing-signal / binary-system case rather than noise."
high_cnn_score_manual_reject,EPIC_211586814,binary_system,false_positive_eb_or_variable,0.8914650678634644,43.463627452523205,,,,,,"Signal has decent primary SNR, but diagnostics are EB-like rather than planet-like. Odd/even depth consistency is poor, with ratio about 0.538 and explicit delta about 0.600. The period is very short at P=0.504d with a relatively long duration of about 3.68 hours, and there is strong half-period alias support. Stage F already held it as ambiguous due to odd/even risk. Reject from candidate pipeline as likely binary/alias-contaminated despite morphology-positive CNN score and no detected secondary eclipse."
