epic_id,stage_r_label,stage_r_reason,n_events_total,n_events_ge_5_cadences,n_events_ge_10_cadences,n_events_shape_ge_071,n_events_shape_ge_074,n_events_long_good,max_shape_score,median_shape_score,max_duration_cadences,median_duration_cadences,depth_min,depth_max,depth_ratio,spike_fraction_2cadence,stage_r_policy_version,stage_r_needs_manual_review,stage_r_debug_json
EPIC_211306307,promote_to_deeper_eval,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267,30,21,13,10,8,7,0.8840099233311842,0.6727180573431855,23.0,6.5,3.273809917025972e-05,0.002125194191028,64.91501476538352,0.26666666666666666,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":9,""n_events_ge_10_cadences"":13,""n_events_ge_5_cadences"":21,""n_events_long_good"":7,""n_events_shape_ge_071"":10,""n_events_shape_ge_074"":8,""n_events_spike_le_2_cadences"":8,""n_events_spike_le_3_cadences"":9,""n_events_strong_ge5_shape_ge074"":8,""n_events_total"":30,""n_events_with_duration_or_shape"":30},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""single_strong_depth_ok"":true,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.002125194191028,""depth_min"":3.273809917025972e-05,""depth_ratio"":64.91501476538352,""max_duration_cadences"":23.0,""max_shape_score"":0.8840099233311842,""median_duration_cadences"":6.5,""median_shape_score"":0.6727180573431855,""non_spike_depth_ratio"":8.981799808087437,""spike_fraction_2cadence"":0.26666666666666666,""spike_fraction_3cadence"":0.3},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211310317,hold_for_review,"hold: borderline long-family case with 2 events duration_cadences>=10 and shape_score>=0.70, but promote criteria not met",28,14,6,4,3,1,0.8094702798637149,0.6668709542663281,22.0,4.5,3.6000982791328795e-05,0.0007444925086931,20.679782910604835,0.32142857142857145,stage_r_manual_calibration_v2,True,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":2,""n_events_ge_10_cadences"":6,""n_events_ge_5_cadences"":14,""n_events_long_good"":1,""n_events_shape_ge_071"":4,""n_events_shape_ge_074"":3,""n_events_spike_le_2_cadences"":9,""n_events_spike_le_3_cadences"":13,""n_events_strong_ge5_shape_ge074"":3,""n_events_total"":28,""n_events_with_duration_or_shape"":28},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":true,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""single_strong_depth_ok"":false,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0007444925086931,""depth_min"":3.6000982791328795e-05,""depth_ratio"":20.679782910604835,""max_duration_cadences"":22.0,""max_shape_score"":0.8094702798637149,""median_duration_cadences"":4.5,""median_shape_score"":0.6668709542663281,""non_spike_depth_ratio"":20.679782910604835,""spike_fraction_2cadence"":0.32142857142857145,""spike_fraction_3cadence"":0.4642857142857143},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211324054,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=21.5); n_events_total=21,21,2,0,0,0,0,0.7077405978050346,0.6712278192899609,7.0,2.0,3.0698723867628175e-05,0.0006615268941967,21.54900304811304,0.7142857142857143,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":2,""n_events_long_good"":0,""n_events_shape_ge_071"":0,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":15,""n_events_spike_le_3_cadences"":17,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":21,""n_events_with_duration_or_shape"":21},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""single_strong_depth_ok"":true,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.0006615268941967,""depth_min"":3.0698723867628175e-05,""depth_ratio"":21.54900304811304,""max_duration_cadences"":7.0,""max_shape_score"":0.7077405978050346,""median_duration_cadences"":2.0,""median_shape_score"":0.6712278192899609,""non_spike_depth_ratio"":2.6898427409036088,""spike_fraction_2cadence"":0.7142857142857143,""spike_fraction_3cadence"":0.8095238095238095},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211339469,hold_for_review,"hold: borderline long-family case with 2 events duration_cadences>=10 and shape_score>=0.70, but promote criteria not met",42,10,2,12,2,0,0.7497888514404132,0.684280006754781,13.0,4.0,0.0001411585300618,0.0106743017065923,75.61924668611263,0.2857142857142857,stage_r_manual_calibration_v2,True,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":2,""n_events_ge_10_cadences"":2,""n_events_ge_5_cadences"":10,""n_events_long_good"":0,""n_events_shape_ge_071"":12,""n_events_shape_ge_074"":2,""n_events_spike_le_2_cadences"":12,""n_events_spike_le_3_cadences"":20,""n_events_strong_ge5_shape_ge074"":2,""n_events_total"":42,""n_events_with_duration_or_shape"":42},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":true,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""single_strong_depth_ok"":false,""single_strong_field_size_ok"":false,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0106743017065923,""depth_min"":0.0001411585300618,""depth_ratio"":75.61924668611263,""max_duration_cadences"":13.0,""max_shape_score"":0.7497888514404132,""median_duration_cadences"":4.0,""median_shape_score"":0.684280006754781,""non_spike_depth_ratio"":32.9683228658937,""spike_fraction_2cadence"":0.2857142857142857,""spike_fraction_3cadence"":0.47619047619047616},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211387425,promote_to_deeper_eval,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.250,28,19,16,2,2,2,0.7614290005177995,0.6663632296132371,22.0,12.5,0.0001079575632469,0.0011578390478269,10.724946108489968,0.25,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":5,""n_events_ge_10_cadences"":16,""n_events_ge_5_cadences"":19,""n_events_long_good"":2,""n_events_shape_ge_071"":2,""n_events_shape_ge_074"":2,""n_events_spike_le_2_cadences"":7,""n_events_spike_le_3_cadences"":7,""n_events_strong_ge5_shape_ge074"":2,""n_events_total"":28,""n_events_with_duration_or_shape"":28},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""single_strong_depth_ok"":true,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0011578390478269,""depth_min"":0.0001079575632469,""depth_ratio"":10.724946108489968,""max_duration_cadences"":22.0,""max_shape_score"":0.7614290005177995,""median_duration_cadences"":12.5,""median_shape_score"":0.6663632296132371,""non_spike_depth_ratio"":3.622185414521422,""spike_fraction_2cadence"":0.25,""spike_fraction_3cadence"":0.25},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211394018,reject_as_noise_or_artifact,reject: dominated by 2-3 cadence spike events; no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=17.9); n_events_total=32,32,3,0,1,0,0,0.7212178753325174,0.6562853865250702,8.0,2.0,9.064422243287852e-05,0.00162053957305,17.87802387791455,0.59375,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":0,""n_events_ge_5_cadences"":3,""n_events_long_good"":0,""n_events_shape_ge_071"":1,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":19,""n_events_spike_le_3_cadences"":24,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":32,""n_events_with_duration_or_shape"":32},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""single_strong_depth_ok"":true,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":true,""spike_3cadence_dominant"":true},""metrics"":{""depth_max"":0.00162053957305,""depth_min"":9.064422243287852e-05,""depth_ratio"":17.87802387791455,""max_duration_cadences"":8.0,""max_shape_score"":0.7212178753325174,""median_duration_cadences"":2.0,""median_shape_score"":0.6562853865250702,""non_spike_depth_ratio"":11.259872513569203,""spike_fraction_2cadence"":0.59375,""spike_fraction_3cadence"":0.75},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211396167,promote_to_deeper_eval,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.296,27,17,14,7,3,3,0.7436412020082785,0.6844644705267033,24.0,11.0,0.0004516458875719,0.0073749027359917,16.32894915890859,0.2962962962962963,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":7,""n_events_ge_10_cadences"":14,""n_events_ge_5_cadences"":17,""n_events_long_good"":3,""n_events_shape_ge_071"":7,""n_events_shape_ge_074"":3,""n_events_spike_le_2_cadences"":8,""n_events_spike_le_3_cadences"":9,""n_events_strong_ge5_shape_ge074"":3,""n_events_total"":27,""n_events_with_duration_or_shape"":27},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""single_strong_depth_ok"":true,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0073749027359917,""depth_min"":0.0004516458875719,""depth_ratio"":16.32894915890859,""max_duration_cadences"":24.0,""max_shape_score"":0.7436412020082785,""median_duration_cadences"":11.0,""median_shape_score"":0.6844644705267033,""non_spike_depth_ratio"":9.820795585900099,""spike_fraction_2cadence"":0.2962962962962963,""spike_fraction_3cadence"":0.3333333333333333},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211396246,promote_to_deeper_eval,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.208,24,16,15,8,6,6,0.8013982456171866,0.6953361705753284,24.0,16.5,0.000153101038754,0.0033276256570404,21.73483396404102,0.20833333333333334,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":10,""n_events_ge_10_cadences"":15,""n_events_ge_5_cadences"":16,""n_events_long_good"":6,""n_events_shape_ge_071"":8,""n_events_shape_ge_074"":6,""n_events_spike_le_2_cadences"":5,""n_events_spike_le_3_cadences"":7,""n_events_strong_ge5_shape_ge074"":6,""n_events_total"":24,""n_events_with_duration_or_shape"":24},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""single_strong_depth_ok"":false,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0033276256570404,""depth_min"":0.000153101038754,""depth_ratio"":21.73483396404102,""max_duration_cadences"":24.0,""max_shape_score"":0.8013982456171866,""median_duration_cadences"":16.5,""median_shape_score"":0.6953361705753284,""non_spike_depth_ratio"":15.549665463059961,""spike_fraction_2cadence"":0.20833333333333334,""spike_fraction_3cadence"":0.2916666666666667},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211404127,promote_to_deeper_eval,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217,23,16,15,13,10,9,0.8714097297986186,0.7243130199392879,24.0,22.0,0.0001952275750987,0.008947855547958,45.83294928205858,0.21739130434782608,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":12,""n_events_ge_10_cadences"":15,""n_events_ge_5_cadences"":16,""n_events_long_good"":9,""n_events_shape_ge_071"":13,""n_events_shape_ge_074"":10,""n_events_spike_le_2_cadences"":5,""n_events_spike_le_3_cadences"":6,""n_events_strong_ge5_shape_ge074"":10,""n_events_total"":23,""n_events_with_duration_or_shape"":23},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":true,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":true,""single_strong_depth_ok"":false,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.008947855547958,""depth_min"":0.0001952275750987,""depth_ratio"":45.83294928205858,""max_duration_cadences"":24.0,""max_shape_score"":0.8714097297986186,""median_duration_cadences"":22.0,""median_shape_score"":0.7243130199392879,""non_spike_depth_ratio"":29.969607852851013,""spike_fraction_2cadence"":0.21739130434782608,""spike_fraction_3cadence"":0.2608695652173913},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
EPIC_211409376,reject_as_noise_or_artifact,reject: no coherent long-duration event family (0 events meet duration>=10 and shape>=0.70); depth/duration are highly inconsistent (depth_ratio=58.9); n_events_total=26,26,10,7,2,0,0,0.7123342857558392,0.6550500311736744,23.0,3.0,6.479509698920083e-05,0.0038169829397464,58.90851495110137,0.4230769230769231,stage_r_manual_calibration_v2,False,"{""counts"":{""n_events_borderline_long_ge10_shape_ge070"":0,""n_events_ge_10_cadences"":7,""n_events_ge_5_cadences"":10,""n_events_long_good"":0,""n_events_shape_ge_071"":2,""n_events_shape_ge_074"":0,""n_events_spike_le_2_cadences"":11,""n_events_spike_le_3_cadences"":15,""n_events_strong_ge5_shape_ge074"":0,""n_events_total"":26,""n_events_with_duration_or_shape"":26},""flags"":{""depth_highly_inconsistent"":true,""has_coherent_long_family"":false,""hold_borderline_long_family_rule_passed"":false,""hold_single_strong_rule_passed"":false,""promote_rule_passed"":false,""single_strong_depth_ok"":false,""single_strong_field_size_ok"":true,""single_strong_hold_allowed"":false,""single_strong_spike_ok"":true,""spike_2cadence_dominant"":false,""spike_3cadence_dominant"":false},""metrics"":{""depth_max"":0.0038169829397464,""depth_min"":6.479509698920083e-05,""depth_ratio"":58.90851495110137,""max_duration_cadences"":23.0,""max_shape_score"":0.7123342857558392,""median_duration_cadences"":3.0,""median_shape_score"":0.6550500311736744,""non_spike_depth_ratio"":19.53967504614559,""spike_fraction_2cadence"":0.4230769230769231,""spike_fraction_3cadence"":0.5769230769230769},""policy_version"":""stage_r_manual_calibration_v2"",""thresholds"":{""borderline_duration_cadences"":10.0,""borderline_shape_score"":0.7,""depth_ratio_inconsistent"":10.0,""hold_duration_cadences"":5.0,""promote_duration_cadences"":10.0,""promote_shape_score"":0.74,""single_strong_depth_ratio_max"":15.0,""single_strong_many_events_max"":35,""single_strong_non_spike_depth_ratio_max"":15.0,""spike_2cadence_dominant_fraction"":0.5,""spike_2cadence_max_promote_fraction"":0.5,""spike_3cadence_dominant_fraction"":0.7}}"
