epic_id,current_final_label,original_manual_label,label_source,review_date,k2_campaign,confirmed_planet_status,known_eb_variable_status,noise_artifact_status,ambiguity_status,safe_for_supervised_training,validation_or_traceability_only,duplicate_conflicting_labels,possible_leakage_concerns,all_label_evidence,has_diagnostics,has_p_half_p_2p_diagnostics,has_accessible_light_curve_tensor,has_current_cnn_score,embedding_exportable,positive_evidence_tier,external_disposition,external_confirmation_status,physical_loss_eligible,training_role,hard_negative_status,correction_record,original_evidence_preserved,hard_negative_flag
EPIC_200008725,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-23,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008785,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-23,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008831,false_positive_eb_or_variable,binary_system,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,2026-05-19,5,,yes,,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=binary_system || plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv=binary_system,false,false,true,false,true,,,,true,,,,,
EPIC_200008917,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-22,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008924,uncertain_hold,uncertain_hold,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,2026-05-19,5,,,,uncertain_or_conflicting,false,true,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=uncertain_hold || plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv=uncertain_hold,false,false,true,false,true,,,,false,,,,,
EPIC_200008946,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-23,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008962,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-23,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008977,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-22,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200008990,reject_as_noise_or_artifact,reject_as_noise_or_artifact,plots/k2_batch/final_candidate_master_ledger.csv,2026-06-23,5,,,yes,none_seen,true,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,true,false,true,false,true,,,,true,,,,,
EPIC_200009188,reject_as_noise_or_artifact,noise_or_artifact,training_labels_v3.csv,2026-05-10,5,,,yes,none_seen,false,false,,EPIC appears in downstream pipeline/master-ledger products; split by EPIC and exclude decision fields,training_labels_v3.csv=noise_or_artifact,false,false,true,false,true,,,,false,,,,,
EPIC_201092629,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
EPIC_201102594,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
EPIC_201110617,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
EPIC_201128338,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
EPIC_201130233,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
EPIC_201132684,candidate_like,confirmed_planet,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns),,,catalogued_ephemeris_unverified_disposition,,,none_seen,false,true,,Catalogue ephemeris may have been used in legacy segment labelling; verify provenance/disposition,K2_ephemerides.csv (NASA Exoplanet Archive ephemerides; confirmation disposition not retained in columns)=confirmed_planet,false,false,false,false,false,,,,false,,,,,
