section,epic_id,manual_label,cnn_score,primary_depth_snr,odd_even_depth_ratio,oot_to_depth,candidate_period_count,alias_risk,fallback_period_flag,duration_fraction_of_period,failure_mode,autovet_v2_penalty,autovet_v2_score,autovet_v2_label,autovet_v2_flags,manual_reason
A. CNN high-confidence false positives,EPIC_211493634,noise_or_artifact,0.890358,786.546,0.789,,0,moderate,true,,cnn_high_confidence_false_positive,0.06,0.622969,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Very shallow signal with modest primary SNR around 8.44, short period at P=0.608d, and only limited event support. Odd/even consistency is not severely bad but is imperfect, with ratio about 0.789 and explicit delta about 0.236. Alias risk is moderate with stronger support at the double-period alias, and the period source is event-spacing fallback with many candidate periods. Plot is noisy and there is no strong planet-like feature to justify holding or promotion despite morphology-positive CNN score."
A. CNN high-confidence false positives,EPIC_211529191,noise_or_artifact,0.922508,24.6501,,,0,,true,,cnn_high_confidence_false_positive,0.06,0.644677,autovet_v2_review_signal_with_caveats,fallback_period_context,"Very shallow signal with weak/modest primary SNR around 4.62 and limited event support. Odd/even consistency is acceptable but not especially strong, and there is no secondary eclipse, but the period source is event-spacing fallback with many candidate periods and no convincing planet-like evidence beyond morphology-positive CNN scoring. Reject as noise/artifact rather than continue holding."
A. CNN high-confidence false positives,EPIC_211542908,binary_system,0.934167,18.8839,0.391,,0,moderate,true,,cnn_high_confidence_false_positive,0.06,0.626611,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Strong odd/even depth mismatch with ratio about 0.391 and explicit delta about 1.27, making the signal EB-like or unreliable rather than planet-like. The signal is also very shallow, primary SNR is only modest around 6.38, alias risk is moderate, and the period source is event-spacing fallback with many candidate periods. Reject from candidate pipeline despite morphology-positive CNN score and no detected secondary eclipse."
A. CNN high-confidence false positives,EPIC_211549072,noise_or_artifact,0.990776,86.2838,0.472,,0,review,true,0.272569,cnn_high_confidence_false_positive,0.06,0.697627,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual plot review does not show a convincing transit-like signal despite very high CNN morphology score. The numerical diagnostics are also unfavorable: shallow primary depth, modest primary SNR around 6.92, very long duration around 7.85 hours for P=1.20d, strong odd/even mismatch with ratio about 0.472 and explicit delta about 0.675, and half-period alias support. Stage F held the object as ambiguous, but manual review overrides the CNN morphology-positive score because the dips are not visually convincing and the signal is not planet-like."
A. CNN high-confidence false positives,EPIC_211581700,binary_system,0.97592,6.5352,,,0,,true,,cnn_high_confidence_false_positive,0.2,0.479662,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context,"Strong real eclipsing signal with excellent odd/even consistency and many repeated events, but the secondary eclipse is highly significant and deeper than expected for a planet-like occultation. Secondary SNR is about 19.83 and secondary-to-primary depth ratio is about 3.87, making this much more consistent with an eclipsing binary or variable binary system than a planet candidate. Reject from planet candidate pipeline despite strong morphology and high CNN score."
A. CNN high-confidence false positives,EPIC_211586814,binary_system,0.891465,43.4636,0.538,,0,pass,true,0.304233,cnn_high_confidence_false_positive,0.2,0.520779,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context,"Signal has decent primary SNR, but diagnostics are EB-like rather than planet-like. Odd/even depth consistency is poor, with ratio about 0.538 and explicit delta about 0.600. The period is very short at P=0.504d with a relatively long duration of about 3.68 hours, and there is strong half-period alias support. Stage F already held it as ambiguous due to odd/even risk. Reject from candidate pipeline as likely binary/alias-contaminated despite morphology-positive CNN score and no detected secondary eclipse."
A. CNN high-confidence false positives,EPIC_211702989,noise_or_artifact,0.94507,32.5314,0.4,,0,moderate,true,,cnn_high_confidence_false_positive,0.06,0.634956,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Manual review favors noise/artifact rather than a planet-like candidate. The signal is very shallow despite modest/high primary SNR, with no detected secondary eclipse, but odd/even consistency is poor: odd/even ratio about 0.400 and explicit delta about 0.833. Alias risk is moderate with stronger support at the double-period alias, and the period source is event-spacing fallback with many candidate periods. Reject from candidate pipeline despite high CNN morphology score because the signal is not visually or diagnostically planet-like."
A. CNN high-confidence false positives,EPIC_211730838,binary_system,0.989619,11.82,0.996,0.27,0,low,true,,cnn_high_confidence_false_positive,0.38,0.35638,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context; validation_reject_context,"Strong coherent eclipsing signal with excellent odd/even consistency, ratio about 0.996 and explicit delta about 0.004, many repeated events, saved validation period support, low alias risk, and no significant secondary eclipse. However the primary depth is extremely large at about 0.099, implying radius ratio about 0.315, which is too deep for a typical planet-like candidate and is more consistent with an eclipsing binary, stellar companion, or blend. OOT variability is also non-trivial at about 0.27x transit depth. Reject from the planet candidate pipeline, but keep as a real eclipsing-signal / binary-system case rather than noise."
A. CNN high-confidence false positives,EPIC_211781094,noise_or_artifact,0.917082,16.7118,,,0,,true,,cnn_high_confidence_false_positive,0.06,0.640147,autovet_v2_review_signal_with_caveats,fallback_period_context,"Some signal-like features may be present, but the detection is not credible as a planet-like candidate. The measured primary depth is extremely large at about 0.217, implying radius ratio about 0.466, while primary SNR is weak around 3.34 and event support is limited. Odd/even consistency is acceptable and there is no detected secondary eclipse, but the period source is event-spacing fallback with many candidate periods and the signal appears unreliable. Reject as noise/artifact or bad folded-event fit rather than promote or hold."
A. CNN high-confidence false positives,EPIC_211902535,noise_or_artifact,0.888558,53.5123,0.68,,0,,true,0.0709877,cnn_high_confidence_false_positive,0.06,0.622515,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Manual review favors weak noise/artifact rather than a planet-like candidate. The signal is very shallow, with a long apparent duration of about 7.36 hours for P=4.32d, and odd/even consistency is poor with ratio about 0.680 and explicit delta about 0.381. There is no meaningful positive secondary eclipse, and OOT variability is low, but the period source is event-spacing fallback with many candidate periods. Reject as noise/artifact despite morphology-positive CNN score."
A. CNN high-confidence false positives,EPIC_211944670,low_priority_negative,0.980615,5.902,0.721,,865,moderate,true,,cnn_high_confidence_false_positive,0.06,0.624016,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review sees a dip, but not good enough for promotion. OOT behaviour is acceptable. Primary depth = 0.002908. SNR is very low: 3.02. Odd/even agreement is imperfect: ratio = 0.721. No secondary eclipse detected. Duration is physically plausible: 1.47 h at P = 1.55281 d. But period source = event_spacing_fallback. Alias risk = moderate. Strong double-period support: alias_best_period_days = 3.10562, support_ratio = 1.0. Candidate period count is high: 865. CNN score = 0.981 is morphology-only and should not override weak validation."
A. CNN high-confidence false positives,EPIC_211980366,variable_or_possible_eb,0.932988,4.64515,0.988,0.468,4537,,true,,cnn_high_confidence_false_positive,0.2,0.475894,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context,"Strong coherent signal, but morphology is not planet-like. Folded light curve shows broad sinusoidal / wave-like modulation. Transit-like depression is embedded in periodic variability. Raw and detrended curves show strong repetitive variability. Odd/even excellent: ratio = 0.988. Secondary is negative, not a clean positive EB secondary, but secondary region is structured. OOT variability high: oot_variability_to_depth = 0.468. Very short period: P = 0.86494 d. Event family count = 65. Candidate period count = 4537. Best interpretation: variable star / possible EB / contact-binary-like false positive."
