epic_id,reconciled_label,reconciled_status,strongest_positive_flag,positive_retained_flag,rejection_flag,uncertainty_flag,source_files,source_labels,source_actions,latest_known_stage,manual_decision_present,autovet_decision_present,stage_g_score,caveat,reconciliation_reason,manual_label,manual_next_action,manual_reason,manual_confidence,manual_vetted,decision_authority,reviewed_at,reviewer,cnn_manual_conflict,conflict_reason
EPIC_200008831,likely_eb_or_binary_system,review_secondary_odd_even_and_eb_features_before_label_update,False,False,True,False,plots/k2_batch/stage_i_autovet_v1_candidate_batch1/autovet_candidate_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_candidate_batch1/pending_candidate_label_updates.csv,likely_eb_or_binary_system,review_secondary_odd_even_and_eb_features_before_label_update,Stage I / AutoVet,False,True,,"reason: auto_candidate_with_caveat is never directly promotable by policy; Stage F likely EB; odd_even_ratio=0.3503, odd_even_delta=0.9622, alias_risk=high, primary_depth=4.131",selected not_positive from plots/k2_batch/stage_i_autovet_v1_candidate_batch1/pending_candidate_label_updates.csv (downstream AutoVet pending-label review); matches: recommended_ledger_label=likely_eb_or_binary_system,,,,,,,,,,
EPIC_200008924,reject_or_low_priority_negative,add_to_reject_audit_queue_before_training,False,False,True,False,plots/k2_batch/stage_i_autovet_v1_candidate_batch1/autovet_candidate_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_candidate_batch1/pending_candidate_label_updates.csv,reject_or_low_priority_negative,add_to_reject_audit_queue_before_training,Stage I / AutoVet,False,True,,"reason: auto_candidate_with_caveat is never directly promotable by policy; Stage F reject; primary_snr=3.563, num_events=2, stage_f_reason=primary transit depth is not significant in cached folded light curve",selected not_positive from plots/k2_batch/stage_i_autovet_v1_candidate_batch1/pending_candidate_label_updates.csv (downstream AutoVet pending-label review); matches: recommended_ledger_label=reject_or_low_priority_negative,,,,,,,,,,
EPIC_200009188,reject_as_noise_or_artifact,not_positive,False,False,True,False,plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv,reject_as_noise_or_artifact,,Stage I / AutoVet,True,False,,reason: folded plots dominated by extreme positive outliers/spikes; apparent 4.9% depth at short 0.919 d period is not reliable as clean planet-like signal; modest SNR despite huge apparent depth; poor shape/SNR hit support; likely artifact or contaminated EB-like signal,selected not_positive from plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv (manual_stage_i_decision); matches: manual_stage_i_label=reject_as_noise_or_artifact; reject_as_noise_or_artifact; noise_or_artifact,,,,,,,,,,
EPIC_211306307,reject_as_noise_or_artifact,not_positive,False,False,True,False,freezes/k2_stage_f_v3_manual_review_outcomes_13.csv; freezes/k2_stage_f_v3_manual_reviewed_13.csv; freezes/stage_g_calibrated_ranking_layer.csv; freezes/stage_g_candidate_ledger_review.csv; k2_stage_f_v3_manual_review_outcomes.csv; k2_stage_f_v3_manual_reviewed.csv,hold_or_reject_review; noise_or_artifact; reject_as_noise_or_artifact,hold_or_reject_review,Stage G,True,False,0.3348284082469124,manual_reason: severe odd/even depth mismatch; weak/moderate primary SNR; inconsistent parity morphology; not convincing as a clean planet-like signal; manual_reason: severe odd/even depth mismatch; weak/moderate primary SNR; inconsistent parity morphology; not convincing as a clean planet-like signal | visual_notes: severe odd/even depth mismatch; weak/moderate primary SNR; inconsistent parity morphology; not convincing as a clean planet-like signal,selected not_positive from freezes/k2_stage_f_v3_manual_review_outcomes_13.csv (manual_review_decision); matches: manual_stage_f_label=reject_as_noise_or_artifact; reject_as_noise_or_artifact; noise_or_artifact,,,,,,,,,,
EPIC_211339469,reject_as_noise_or_artifact,not_positive,False,False,True,False,plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv,reject_as_noise_or_artifact,,Stage I / AutoVet,True,False,,reason: extremely noisy/high-SNR structured signal; primary depth/SNR too extreme for clean planet-like interpretation; secondary-like signal present; high OOT variability; P/2 alias support stronger than nominal P; likely EB/variable/systematic,selected not_positive from plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv (manual_stage_i_decision); matches: manual_stage_i_label=reject_as_noise_or_artifact; reject_as_noise_or_artifact; noise_or_artifact,,,,,,,,,,
EPIC_211387425,reject_as_noise_or_artifact,not_positive,False,False,True,False,plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv,reject_as_noise_or_artifact,,Stage I / AutoVet,True,False,,reason: not visually convincing; weak/moderate primary; borderline odd/even agreement; P/2 alias support stronger than nominal P; no clean planet-like morphology,selected not_positive from plots/k2_batch/stage_i_discovery_pilot_batch1/stage_i_manual_review_outcomes.csv (manual_stage_i_decision); matches: manual_stage_i_label=reject_as_noise_or_artifact; reject_as_noise_or_artifact; noise_or_artifact,,,,,,,,,,
EPIC_211396167,candidate_like_hold,keep_hold_alias_duration_review,False,True,False,False,plots/k2_batch/stage_i_autovet_v1_hold_batch1/autovet_hold_validation_ledger.csv; plots/k2_batch/stage_i_autovet_v1_hold_batch2/manual_stage_i_hold_batch2_review_decisions.csv,candidate_like_hold; needs_period_review,run_alias_duration_sanity_review; keep_hold_alias_duration_review; run_period_search_before_label_update,Stage I / AutoVet,True,True,,reason: original AutoVet evidence had missing/weak saved period support; manual_reason: visible coherent primary transit-like dip at phase 0; no convincing secondary eclipse at phase 0.5; odd_even_depth_ratio 0.9432; odd_even_depth_delta 0.0572; OOT/depth 0.0302. Kept as hold because duration is long at 9.807h and requires alias/duration sanity review before Stage G promotion.,selected positive_retained from plots/k2_batch/stage_i_autovet_v1_hold_batch2/manual_stage_i_hold_batch2_review_decisions.csv (latest_manual_decision); matches: manual_label=candidate_like_hold; ledger_label=candidate_like_hold; alias_duration_sanity_review,,,,,,,,,,
EPIC_211396246,reject_manual_false_positive,reject_manual_false_positive,False,False,True,False,freezes/final_candidate_master_ledger_stage_h_candidate_followup.csv; freezes/stage_g_calibrated_ranking_layer.csv; freezes/stage_g_candidate_ledger_review.csv; plots/k2_batch/final_candidate_master_ledger.csv; plots/k2_batch/final_candidate_master_ledger_stage_f_closed.csv,hold_or_reject_review; noise_or_artifact; reject_manual_false_positive,exclude from novel planet queue after Stage F reviewed outcome; reject_manual_false_positive; hold_or_reject_review,Master ledger,False,False,0.6653465304461603,"status_reason: Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue | visual_notes: Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",selected not_positive from plots/k2_batch/final_candidate_master_ledger.csv (current_master_ledger); matches: final_candidate_status=reject_manual_false_positive; final_recommendation=reject_manual_false_positive; reject_manual_false_positive; false_positive,,,,,,,,,,
EPIC_211404127,candidate_needs_manual_followup,candidate_needs_manual_followup,False,True,False,False,freezes/final_candidate_master_ledger_stage_h_candidate_followup.csv; freezes/k2_stage_f_v3_manual_review_outcomes_13.csv; freezes/k2_stage_f_v3_manual_reviewed_13.csv; freezes/stage_g_calibrated_ranking_layer.csv; freezes/stage_g_candidate_ledger_review.csv; freezes/stage_h_candidate_followup_decisions.csv; k2_stage_f_v3_manual_review_outcomes.csv; k2_stage_f_v3_manual_reviewed.csv; plots/k2_batch/final_candidate_master_ledger.csv,candidate_like; candidate_needs_manual_followup; known_positive_below_pass_threshold_recheck_features; promote_to_deeper_eval,candidate_needs_manual_followup; candidate_needs_manual_followup; candidate_needs_manual_followup; known_positive_below_pass_threshold_recheck_features,Master ledger,True,False,0.40196523850406085,"stage_f_closed_45_caveats: Candidate-like weak_support row; preserve manual Stage F promote_to_deeper_eval evidence and require manual ledger decision. | stage_h_reason: real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk | status_reason: real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk; manual_reason: strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support; manual_reason: strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support | visual_notes: strong deep primary; high SNR; acceptable odd/even; no phase-0.5 secondary; strong event support; caveat high OOT and P/2 alias support; stage_h_reason: real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk",selected positive_retained from plots/k2_batch/final_candidate_master_ledger.csv (current_master_ledger); matches: stage_h_ledger_status=candidate_needs_manual_followup; stage_h_status=candidate_needs_manual_followup; final_candidate_status=candidate_needs_manual_followup; final_recommendation=candidate_needs_manual_followup; recommended_next_action=candidate_needs_manual_followup; visual_label=promote_to_deeper_eval; stage_h_label=candidate_needs_manual_followup; candidate_needs_manual_followup,,,,,,,,,,
EPIC_211409604,hold_deeper_eval,positive_retained,False,True,False,False,freezes/k2_stage_f_v3_manual_review_outcomes_13.csv; freezes/k2_stage_f_v3_manual_reviewed_13.csv; freezes/stage_g_calibrated_ranking_layer.csv; freezes/stage_g_candidate_ledger_review.csv; k2_stage_f_v3_manual_review_outcomes.csv; k2_stage_f_v3_manual_reviewed.csv,hold_deeper_eval; hold_or_reject_review; uncertain_hold,hold_or_reject_review,Stage G,True,False,0.30651032727793015,manual_reason: some candidate-like signal but uncertain; borderline/poor odd-even agreement; high OOT variability; non-dominant alias support; not confident enough to promote; manual_reason: some candidate-like signal but uncertain; borderline/poor odd-even agreement; high OOT variability; non-dominant alias support; not confident enough to promote | visual_notes: some candidate-like signal but uncertain; borderline/poor odd-even agreement; high OOT variability; non-dominant alias support; not confident enough to promote,selected positive_retained from freezes/k2_stage_f_v3_manual_review_outcomes_13.csv (manual_review_decision); matches: manual_stage_f_label=hold_deeper_eval,,,,,,,,,,
