review_batch,reviewed_at,reviewer,epic_id,source_packet,source_rank,manual_label,manual_label_family,training_eligibility,training_use_note,manual_reason,reason_status,manual_vetted,gatevetter_v0_2_prediction,gatevetter_v0_2_reason,gatevetter_score,candidate_survivor_score,cnn_score,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_depth_snr,secondary_to_primary_depth_ratio,oot_to_depth,candidate_period_count,event_family_count,alias_risk,duration_fraction_of_period,best_period_days,transit_duration_hours,period_source,period_ambiguity_flag,period_comparison_status,trusted_period_validation,metric_trust_level,stage_g_action,primary_gate,hard_gate_fired,hard_gates_fired,hold_gates_fired,risk_gates_fired,penalties_or_missing_evidence,rule_trace,score_components,phase_0_folded_path,validation_summary_json_path,notes
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211351798,top_20_holds,1,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,"Strong sinusoidal variability, OOT variability, and secondary-like structure; not a planet-candidate hold.",complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.622651,0.6727136373519897,0.0006403488767106058,36.880185274920855,0.7977102095052904,0.0,0.0,0.576434242870734,13,13,low,0.013804,8.88099,2.9421595927560693,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.302721|primary_depth_snr:0.17993|odd_even_support:0.06|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211351798/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211351798/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211768304,top_20_holds,2,uncertain_hold_positive,hold,exclude_for_now,Do not use hold for training yet.,"Sharp transit-like dip with good CNN support, but variability/secondary context keeps it as a positive hold rather than Stage G.",complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.645859,0.8395941257476807,0.00014470961880053146,4.948995371239028,0.7618304954739153,0.0,0.0,0.37910226258404306,26,6,moderate,0.004149,9.84815,0.9807204887329128,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.30,false,none,gate4_oot_to_depth_ge_0.30,none,gate2_fallback_period_context,Gate 4 hold: OOT variability >= 30% of depth,cnn_morphology:0.377817|primary_depth_snr:0.128042|odd_even_support:0.06|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211768304/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211768304/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_212029934,top_20_holds,3,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Large coherent modulation and broad EB-like phased structure; reject from planet-candidate queue.,complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.634412,0.8764703273773193,0.03201719893871735,3.290929609043281,0.9677255055372925,-1.2740099341267648,-0.637440207730216,0.7653733590824818,23,8,low,0.081967,1.24634,2.451815505512058,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.394412|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_212029934/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_212029934/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211485867,top_20_holds,4,uncertain_hold_period_ambiguous,hold,exclude_for_now,Do not use hold for training yet.,"Transit-like dip is visible, but period ambiguity and missing/NA cross-checks prevent positive promotion.",complete_codex_visual_review,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.530655,0.530655,0.7152086496353149,0.000711948105244109,5.422340741753158,,0.0,0.0,,19,9,period_ambiguous,0.017694,5.773551982306528,2.451799695496447,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.321844|primary_depth_snr:0.128811|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211485867/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211485867/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211775796,top_20_holds,5,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Structured stellar variability and secondary/phase features outweigh the weak primary dip.,complete_codex_visual_review,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.516275,0.516275,0.6858513355255127,0.0001333427753411054,4.702961428642093,,0.0,0.0,,20,9,period_ambiguous,0.005848,6.98762,0.9807202218216841,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.308633|primary_depth_snr:0.127642|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211775796/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211775796/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211775229,top_20_holds,6,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Variable/EB-like morphology with period ambiguity and secondary structure; not a planet candidate.,complete_codex_visual_review,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.514166,0.514166,0.6702765226364136,0.0005600905133281708,7.718042172876392,,0.0,0.0,,23,5,period_ambiguous,0.004787,12.805298558116847,1.4710848883842096,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.301624|primary_depth_snr:0.132542|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211775229/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211775229/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211328173,top_20_holds,7,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,No convincing transit-like signal and invalid/negative primary-depth evidence.,complete_codex_visual_review,true,excluded_uncertain_hold,duration_fraction_ge_0_20_hold,0.05,0.369448,0.7321066856384277,-4.3860850931443096e-05,-0.0982893148101059,,0.08406529083468602,,,34,4,period_ambiguous,0.221574,0.87601,4.658424330496927,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate_v0_2_duration_fraction_ge_0_20,true,gate_v0_2_duration_fraction_ge_0_20,none,none,weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,Gate v0.2 hold: duration fraction is greater than or equal to 0.20 and below 0.35,cnn_morphology:0.329448|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.0,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211328173/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/top_20_holds/EPIC_211328173/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211918830,reject_sanity_high_cnn_high_snr,1,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Deep coherent EB-like modulation and high OOT-to-depth; reject sanity remains valid.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.899479329586029,0.04438194679863733,1.7249473194406142,0.9825329184153644,1.7867498884864195,1.037964138971674,1.0923721292548654,14,15,moderate,0.029499,0.692635,0.490361953445244,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,Gate 3 route: EB/variable risk,none,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_211918830/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_211918830/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_211308816,reject_sanity_high_cnn_high_snr,2,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,No coherent transit-like family in folded or event-stack views; high-CNN reject remains valid.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.8090390563011169,0.0004327083668052012,0.7989352043258047,,0.4423875001321044,0.5663610434418124,,34,4,period_ambiguous,0.010526,5.82303,1.471079695096704,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_211308816/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_211308816/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_5_manual_review,2026-06-22,codex_visual_review,EPIC_212031287,reject_sanity_high_cnn_high_snr,3,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Period-ambiguous spike/noise structure without repeatable transit evidence.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.7816839218139648,7.39557699306892e-05,0.19808662870413424,,0.2668735559556749,1.3427566027180733,,28,3,period_ambiguous,0.000661,30.923355083943683,0.4903619562392112,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_212031287/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_5/reject_sanity_high_cnn_high_snr/EPIC_212031287/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
