epic_id,manual_label,manual_next_action,manual_confidence,manual_reason,reviewed_at,reviewer,decision_authority,manual_vetted,cnn_manual_conflict,conflict_reason,decision,stage_g_action,training_update
EPIC_200008831,binary_system,reject_from_candidate_pipeline,high,Strong odd/even depth mismatch with ratio 0.350; high half-period alias risk; Stage F likely EB; noisy/unstable morphology; not planet-like.,2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_200008924,uncertain_hold,keep_hold_for_recheck,medium,"Weak primary SNR and Stage F rejected due to insignificant cached folded transit, but odd/even is not severe and no secondary eclipse is detected; hold for recheck rather than hard reject.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211356395,uncertain_hold,promote_to_stage_f_period_validation,medium,"Visible shallow folded dip with good odd/even consistency and no secondary eclipse; OOT variability acceptable at about 0.30 of depth; primary SNR is modest and period support is fallback/ambiguous, so hold for Stage F validation rather than direct promotion.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211357782,candidate_like,promote_to_stage_f_validation,medium,Improved plots show a visible repeated dip; odd/even acceptable; no secondary eclipse; physically plausible depth; modest SNR and fallback-only period support require Stage F validation.,2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211371463,uncertain_hold,run_stage_f_validation_with_oot_detrending_check,medium,"Strong dip morphology and excellent odd/even consistency, but OOT variability is about 1.9x the transit depth, duration is long for P=2.84d, and period source is fallback-only; hold pending better OOT/detrending validation.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211409713,uncertain_hold,promote_to_stage_f_period_validation,medium_high,"Strong and clean folded transit morphology with high primary SNR, plausible depth, short duration, low OOT variability relative to depth, and no significant secondary eclipse. However odd/even is unavailable and alias risk is moderate, with stronger support at the double-period alias, so keep as uncertain hold pending Stage F period/odd-even validation rather than direct candidate promotion.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211418290,uncertain_hold,keep_hold_for_recheck_with_detrending_and_period_validation,medium,"Transit-like signal is present with strong primary SNR and acceptable odd/even consistency, with low alias risk and no detected secondary eclipse. However the OOT variability is high at about 0.76x transit depth, transit duration is very long at about 12.0 hours for P=4.95d, CNN morphology score is only moderate, and the period source is event-spacing fallback with many candidate periods. Keep as uncertain hold pending improved detrending and period validation rather than promote.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211424769,binary_system,reject_from_candidate_pipeline,high,"Strong odd/even depth mismatch with ratio about 0.343 and explicit delta about 0.82, making the signal EB-like rather than planet-like. Primary SNR is only modest, CNN morphology score is moderate, and the period source is event-spacing fallback with many candidate periods, so reject from candidate pipeline despite low OOT variability and no meaningful positive secondary eclipse.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211429653,noise_or_artifact,reject_from_candidate_pipeline,high,"Stage F already rejects the signal because the primary transit depth is not significant in the cached folded light curve. Primary SNR is weak at about 3.25, the event count is low, and the period is very short at P=0.507d with a long apparent duration of about 5.88 hours. Odd/even is also severely inconsistent with ratio about 0.247 and explicit delta about 1.47, so the morphology is not reliable for planet promotion despite CNN morphology-positive scoring.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
EPIC_211432321,noise_or_artifact,reject_from_candidate_pipeline,high,"Weak/shallow signal with modest primary SNR around 7.52, very short period at P=0.776d, and implausibly long transit duration around 6.37 hours. Period support is unreliable from event-spacing fallback with many candidate periods, and alias risk is moderate with stronger support near the double-period alias. Odd/even is not catastrophically mismatched but still imperfect, so reject as noise/artifact rather than promote.",2026-05-19,user_provided_manual_review,manual_review,true,,,,,
