review_order,epic_id,adjudication_status,current_corrected_physical_class,current_physical_loss_eligible,conflict_category,review_focus,internal_normalized_class,internal_original_label,manual_review_label,manual_review_reason,manual_review_reviewer,manual_review_date,manual_review_source,internal_label_source,internal_all_label_evidence,archive_normalized_class,archive_evidence_kinds_json,archive_dispositions_json,archive_references_json,catalogue_object_ids_json,campaigns_json,archive_periods_json,catalogue_object_row_count,catalogue_unique_object_count,catalogue_default_solution_count,catalogue_non_default_solution_count,archive_cross_class_conflict,internal_archive_class_conflict,accessible_local_light_curve,accessible_512_sample_tensor,existing_cnn_probability,existing_128d_embedding,nominal_numerical_diagnostics,p_half_p_2p_diagnostics,trusted_period,cnn_probability,validation_period_days,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_to_primary_depth_ratio,oot_to_depth,permitted_adjudication_values,reviewer_decision,reviewer_reason,reviewer,adjudicated_at_utc
1,EPIC_205703094,unresolved,cross_class_conflict,False,archive_object_mixed_candidate_false_positive,Review object-level dispositions separately; a mixed-disposition multi-object host cannot receive one physical host class without an explicit policy decision.,,,,,,,,,,,"[""archive_candidate"",""archive_false_positive""]","[""CANDIDATE"",""FALSE POSITIVE""]","[""Crossfield et al. 2016""]","[""EPIC 205703094.01"",""EPIC 205703094.02"",""EPIC 205703094.03""]","[""2""]","[8.1191,16.235,24.9922]",3,3,3,0,True,False,False,False,False,False,False,False,False,,,,,,,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
2,EPIC_211424769,unresolved,cross_class_conflict,False,internal_eb_variable_vs_archive_candidate,"Compare the manual EB/variable morphology rationale with the archive candidate reference; decide whether archive candidate evidence supersedes, coexists with, or remains quarantined against the internal negative.",false_positive_eb_or_variable,binary_system,binary_system,"Strong odd/even depth mismatch with ratio about 0.343 and explicit delta about 0.82, making the signal EB-like rather than planet-like. Primary SNR is only modest, CNN morphology score is moderate, and the period source is event-spacing fallback with many candidate periods, so reject from candidate pipeline despite low OOT variability and no meaningful positive secondary eclipse.",user_provided_manual_review,2026-05-19,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=binary_system || plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv=binary_system,candidate_like,"[""archive_candidate""]","[""CANDIDATE""]","[""Mayo et al. 2018""]","[""EPIC 211424769.01""]","[""5"",""18""]","[5.176,5.176243]",2,1,1,1,False,True,True,True,True,True,False,False,False,0.6961907148361206,,,,,,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
3,EPIC_211428897,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_candidate,Compare the manual noise/systematics rationale with the archive candidate evidence; do not infer a negative or positive from either source without adjudication.,reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,Systematics-dominated raw trend and isolated narrow dip without trustworthy support; reject remains valid.,codex_visual_review,2026-06-22,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,candidate_like,"[""archive_candidate""]","[""CANDIDATE""]","[""Kruse et al. 2019""]","[""EPIC 211428897.01"",""EPIC 211428897.02"",""EPIC 211428897.03"",""EPIC 211428897.04"",""EPIC 211428897.05""]","[""5"",""18""]","[1.610888,1.610911,1.61092,1.611,2.177846,2.178008,2.17807,3.28963,4.96792,4.96883,6.26561]",11,5,5,6,False,True,True,True,True,True,True,False,False,0.8146892786026001,1.61002,0.0002902064472191,2.1699028164578213,,-0.0081362611410558,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
4,EPIC_211432167,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,Very shallow ambiguous structure with no convincing transit zoom or event-stack support.,codex_visual_review,2026-06-23,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Yu et al. 2018""]","[""EPIC 211432167.01""]","[""5"",""16"",""18""]",[5.817737],1,1,1,0,False,True,True,True,True,True,True,False,False,0.7813312411308289,1.631180421520741,5.964629712840175e-05,0.4554013943682703,,0.6371818817022463,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
5,EPIC_211432946,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,low_priority_negative,low_priority_negative,"Trusted refreshed period and high CNN morphology score with low alias risk and no clear secondary, but primary SNR is modest, odd/even ratio is borderline-poor at 0.727, OOT variability is high relative to depth at 0.783, and candidate_period_count is very large. Not candidate_like.",user_provided_manual_review,2026-06-16,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=low_priority_negative,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Yu et al. 2018""]","[""EPIC 211432946.01""]","[""5"",""16"",""18""]",[1.671965],1,1,1,0,False,True,True,True,True,True,True,False,False,0.9650353789329528,3.41209,0.0048854579616908,5.160458478200994,0.7266037970356642,-0.2208556441354068,0.7827408868485567,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
6,EPIC_211705654,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,Consolidated GateVetter v0.2 Batch 3 manual review label: reject_as_noise_or_artifact.,user_provided_manual_review,2026-06-22,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact || plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Rizzuto et al. 2017""]","[""EPIC 211705654.01""]","[""5"",""16"",""18""]",[2.5331],1,1,1,0,False,True,True,True,True,True,True,False,False,0.507875919342041,2.52671,0.0028622337382899,2.6591702152257217,0.960276376227118,0.0,1.6480273136732315,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
7,EPIC_211719484,unresolved,cross_class_conflict,False,internal_eb_variable_vs_archive_candidate,"Compare the manual EB/variable morphology rationale with the archive candidate reference; decide whether archive candidate evidence supersedes, coexists with, or remains quarantined against the internal negative.",false_positive_eb_or_variable,false_positive_eb_or_variable,false_positive_eb_or_variable,Period-ambiguous EB-like morphology with secondary/shape concerns; reject remains valid.,codex_visual_review,2026-06-22,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=false_positive_eb_or_variable,candidate_like,"[""archive_candidate""]","[""CANDIDATE""]","[""Barros et al. 2016""]","[""EPIC 211719484.01""]","[""5"",""18""]",[0.36091387],1,1,1,0,False,True,True,True,True,True,True,False,False,0.9927183389663696,0.7219962415640329,0.0001609158500142,0.3579617441127724,,4.296839974351244,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
8,EPIC_211812160,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,user_provided_manual_review,2026-06-22,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Yu et al. 2018""]","[""EPIC 211812160.01""]","[""5"",""16"",""18""]",[1.085097],1,1,1,0,False,True,True,True,True,True,True,False,False,0.9868557453155518,1.084618630225913,0.000170547752029,0.6215851589228855,,0.0098400633020086,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
9,EPIC_212012387,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,user_provided_manual_review,2026-06-22,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Yu et al. 2018""]","[""EPIC 212012387.01""]","[""5"",""16""]",[3.244126],1,1,1,0,False,True,True,True,True,True,True,False,False,0.9351791739463806,22.101252638746157,0.000244520198913,1.245150253390343,,-0.1123170448159304,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
10,EPIC_212020442,unresolved,cross_class_conflict,False,internal_noise_artifact_vs_archive_false_positive,"Both sources are negative at broad polarity but disagree on the physical subclass; choose a class only if the evidence supports that distinction, otherwise retain quarantine.",reject_as_noise_or_artifact,reject_as_noise_or_artifact,reject_as_noise_or_artifact,"Manual review indicates no convincing period / period solution not trustworthy. Primary depth is shallow: 0.000683. SNR is weak: 7.60. Odd/even only moderate: ratio = 0.815. Alias risk = moderate. Strong alternate-period support: alias_best_period_days = 11.768625, support_ratio = 0.875. Master next action was run_period_search_before_label_update. Treat as period failure / noise, not candidate.",user_provided_manual_review,2026-06-01,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv,plots/k2_batch/final_candidate_master_ledger.csv=reject_as_noise_or_artifact || plots/k2_batch/master_vetted_catalog/manual_vetting_decisions_ledger.csv=reject_as_noise_or_artifact,false_positive_eb_or_variable,"[""archive_false_positive""]","[""FALSE POSITIVE""]","[""Yu et al. 2018""]","[""EPIC 212020442.01""]","[""5"",""16""]",[3.888853],1,1,1,0,False,True,True,True,True,True,False,False,False,0.8967928886413574,,,,,,,confirmed_planet|candidate_like|false_positive_eb_or_variable|reject_as_noise_or_artifact|retain_cross_class_conflict,,,,
