review_batch,reviewed_at,reviewer,epic_id,source_packet,source_rank,hold_rank,manual_packet_rank,packet_group,manual_label,manual_label_family,training_eligibility,training_use_note,manual_reason,reason_status,manual_vetted,gatevetter_v0_2_prediction,gatevetter_v0_2_reason,gatevetter_score,candidate_survivor_score,cnn_score,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_depth_snr,secondary_to_primary_depth_ratio,oot_to_depth,candidate_period_count,event_family_count,alias_risk,fallback_period_flag,duration_fraction_of_period,best_period_days,transit_duration_hours,period_source,period_ambiguity_flag,period_comparison_status,trusted_period_validation,metric_trust_level,stage_g_action,primary_gate,hard_gate_fired,hard_gates_fired,hold_gates_fired,risk_gates_fired,penalties_or_missing_evidence,rule_trace,score_components,phase_0_folded_path,validation_summary_json_path,notes
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211912465,top_20_holds,1,1,,,uncertain_hold_period_ambiguous,hold,exclude_for_now,Do not use hold for training yet.,Consolidated GateVetter v0.2 Batch 3 manual review label: uncertain_hold_period_ambiguous.,complete_user_supplied,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.578549,0.578549,0.7354157567024231,0.00012570837730968565,29.29961609618495,,0.0,0.0,,24,6,period_ambiguous,true,0.001701,12.009999373569299,0.49036516100750155,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.330937|primary_depth_snr:0.167612|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211912465/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211912465/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211384981,top_20_holds,5,5,,,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: reject_as_noise_or_artifact.,complete_user_supplied,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.52747,0.52747,0.674346923828125,0.0001432217442896011,14.778035231822583,,0.0,0.0,,24,5,period_ambiguous,true,0.00443,23.058612693791822,2.4517999638919705,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.303456|primary_depth_snr:0.144014|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211384981/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211384981/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211490678,top_20_holds,3,3,,,low_priority_negative,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: low_priority_negative.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.584246,0.570981502532959,0.0004026983697853481,4.4948073761686596,0.8898753960393517,,0.0,1.0598759382105896,18,11,moderate,true,0.047904,5.11816,5.884341738419606,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context,Gate 4 hold/reject block: OOT variability >= 50% of depth; Gate v0.2 Stage G block: missing diagnostics are not passes (secondary_depth_snr),cnn_morphology:0.256942|primary_depth_snr:0.127304|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211490678/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211490678/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211504156,top_20_holds,4,4,,,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: variable_or_possible_eb.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.639447,0.777080774307251,0.029495738069711286,6.007038416155969,0.9398029608953625,-1.5222630679891291,-0.6902581171486887,0.6256661090763701,17,18,moderate,true,0.144,1.27698,4.413235833722864,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.349686|primary_depth_snr:0.129761|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211504156/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211504156/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211613728,top_20_holds,6,6,,,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: reject_as_noise_or_artifact.,complete_user_supplied,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.502139,0.502139,0.6516250371932983,0.0004607208308482491,5.48194317031437,,0.0,0.0,,23,5,period_ambiguous,true,0.000932,21.91131256207829,0.4903638227842728,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.293231|primary_depth_snr:0.128908|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211613728/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211613728/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211705654,top_20_holds,9,9,,,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: reject_as_noise_or_artifact.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.428544,0.428544,0.507875919342041,0.0028622337382899765,2.6591702152257217,0.9602763762271179,0.0,0.0,1.6480273136732317,14,19,low,true,0.149999,2.52671,9.31682646588888,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.228544|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211705654/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211705654/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211322563,top_20_holds,2,2,,,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: reject_as_noise_or_artifact.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.582833,0.761850893497467,0.0021063110560332055,0.7206859586613807,0.9071061027896792,-4.143007792620296,-2.6503150336234778,2.0688181586642944,22,9,moderate,true,0.066226,1.54259,2.45181130443234,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.342833|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211322563/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211322563/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211914980,top_20_holds,7,7,,,low_priority_negative,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: low_priority_negative.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.456366,0.456366,0.5697023868560791,0.00287235527006513,2.7425676588802643,0.9874792955315429,0.0,0.0,0.43777491381861827,19,12,low,true,0.149999,2.17597,7.845807777775917,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.30,false,none,gate4_oot_to_depth_ge_0.30,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold: OOT variability >= 30% of depth,cnn_morphology:0.256366|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211914980/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_211914980/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_212029715,top_20_holds,8,8,,,low_priority_negative,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: low_priority_negative.,complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.437303,0.437303,0.5273394584655762,0.002072823364756282,3.404968463789304,0.8727606473275716,-0.3764036804122933,-0.16375163015317845,0.4705754673765165,18,13,low,true,0.149999,2.03297,7.84584984096,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.30,false,none,gate4_oot_to_depth_ge_0.30,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold: OOT variability >= 30% of depth,cnn_morphology:0.237303|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_212029715/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/top_20_holds/EPIC_212029715/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
gatevetter_v0_2_batch_3_manual_review,2026-06-22,user_provided_manual_review,EPIC_211959779,reject_sanity_high_cnn_high_snr,4,,4,eb_variable_rejects_all,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Consolidated GateVetter v0.2 Batch 3 manual review label: false_positive_eb_or_variable.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.6302798390388489,9.259309472431365e-05,4.350198728452244,0.630441016736007,0.0,0.0,1.0808419364590671,17,11,moderate,true,0.03322,7.99559,6.374809214437846,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,Gate 3 route: EB/variable risk,none,plots/k2_batch/gatevetter_v0_2_batch_3/reject_sanity_high_cnn_high_snr/EPIC_211959779/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_3/reject_sanity_high_cnn_high_snr/EPIC_211959779/validation_summary.json,"Consolidated Batch 3 manual review; no GateVetter v0.2 threshold changes, no CNN retraining, CNN remains morphology_score only."
