queue_rank,epic_id,autovet_label,autovet_confidence,recommended_next_action,explanation_short,triggered_rules,key_metrics_used,autovet_rank_score,review_priority_score,flux_p_science_like,flux_p_top3_mean,flux_p_top10_mean,flux_num_segments,triage_score_global,triage_step_score,triage_whiteness_score,best_shape_score,best_depth_snr,n_events,n_periods_proposed,n_periods_validated,best_period_days,period_support_count,event_family_count,primary_depth,radius_ratio_sqrt_depth,primary_depth_snr,transit_duration_hours,odd_even_depth_ratio,odd_even_depth_delta_explicit,secondary_to_primary_depth_ratio,secondary_depth_snr,oot_variability_to_depth,alias_best_support_ratio,spike_fraction_2cadence,pilot_noise_like_flag,obvious_low_signal_flag,funnel_bucket,prefilter_rank,prefilter_rank_score,recommended_prefilter_action,prefilter_reason,manual_vetted,review_level,master_label,master_reason,master_next_action,decision_authority,cnn_score,morphology_positive,queue_goal,queue_policy,cnn_score_name,cnn_role,cnn_policy_version
1,EPIC_200008831,auto_candidate_with_caveat,0.7,review_candidate_with_caveats_before_any_ledger_or_label_change,"Candidate evidence is present, but one or more caveats still need manual review.",flux_model_supports_signal; adequate_period_event_support; no_fatal_secondary_or_depth_flags; moderate_primary_snr; step_systematic_caution,flux_p_science_like=0.834; triage_score_global=0.433; triage_step_score=0.8505; triage_whiteness_score=0.2697; best_shape_score=0.7306; best_depth_snr=8.536; n_events=4; n_periods_validated=3; best_period_days=6.109; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7242248953001397,0.6242248953001397,0.8340081572532654,0.7805893421173096,0.6579361498355866,13,0.4330229737901699,0.8504655393147451,0.2696728540858527,0.7305633642335856,8.535942614654859,4.0,3.0,3.0,6.109175422134285,3.0,4.0,,,8.535942614654859,,,,,,,,,False,False,needs_stage_i_plot_generation,3561,0.394724,plot_when_capacity_available_after_period_search_candidates,validated_period_available,False,auto_only,auto_candidate_with_caveat,"auto_candidate_with_caveat is never directly promotable by policy; Stage F likely EB; odd_even_ratio=0.3503, odd_even_delta=0.9622, alias_risk=high, primary_depth=4.131",review_secondary_odd_even_and_eb_features_before_label_update,internal_autovet,0.8340081572532654,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
2,EPIC_200008924,auto_candidate_with_caveat,0.7,review_candidate_with_caveats_before_any_ledger_or_label_change,"Candidate evidence is present, but one or more caveats still need manual review.",flux_model_supports_signal; adequate_period_event_support; no_fatal_secondary_or_depth_flags; limited_period_support; moderate_primary_snr; step_systematic_caution,flux_p_science_like=0.6653; triage_score_global=0.4005; triage_step_score=0.7961; triage_whiteness_score=0.3597; best_shape_score=0.6677; best_depth_snr=8.339; n_events=3; n_periods_validated=1; best_period_days=2.942; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.4782016364256004,0.3788511679816316,0.6653202772140503,0.6394893725713094,0.58710076212883,13,0.4004603130585282,0.7961028106638127,0.3597238121648831,0.6676582218155624,8.33886143257409,3.0,1.0,1.0,2.9421663436151,1.0,3.0,,,8.33886143257409,,,,,,,,,False,False,needs_stage_i_plot_generation,3580,0.352755,plot_when_capacity_available_after_period_search_candidates,validated_period_available; external_score_support,False,auto_only,auto_candidate_with_caveat,"auto_candidate_with_caveat is never directly promotable by policy; Stage F reject; primary_snr=3.563, num_events=2, stage_f_reason=primary transit depth is not significant in cached folded light curve",add_to_reject_audit_queue_before_training,internal_autovet,0.6653202772140503,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
3,EPIC_211549072,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.9908; triage_score_global=-0.6655; triage_step_score=0.02147; triage_whiteness_score=0.9993; best_shape_score=0.838; best_depth_snr=86.28; n_events=30; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7967716425657273,0.7967716425657273,0.9907761216163636,0.9666826725006104,0.8197718739509583,13,-0.6655207082091821,0.0214738126665381,0.9993124249255092,0.8380235101896251,86.28376206886168,30.0,0.0,0.0,,0.0,30.0,,,86.28376206886168,,,,,,,,,False,False,needs_period_search,1,0.773611,run_period_search_before_stage_i_plot_generation,no_saved_period_support; external_score_support; high_prefilter_score,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; EB risk features: odd_even_ratio=0.4722, odd_even_delta=0.6746, secondary_ratio=0, alias_risk=moderate",run_period_search_before_label_update,internal_autovet,0.9907761216163635,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
4,EPIC_211995966,auto_hold_needs_review,0.6,hold_for_manual_review_or_period_validation_before_promotion,"The row has possible signal evidence, but not enough clean support for candidate promotion.",possible_signal_without_clean_promotion_evidence; weak_or_moderate_primary_snr,flux_p_science_like=0.8787; triage_score_global=0.005041; triage_step_score=0.2967; triage_whiteness_score=0.4861; best_shape_score=0.707; best_depth_snr=3.366; n_events=10; n_periods_validated=3; best_period_days=1.144; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7746037582738443,0.7584857456129763,0.8787158131599426,0.874326487382253,0.8438651502132416,13,0.0050407171489437,0.2967080759652078,0.4860544112882705,0.7070237575331259,3.3663627933369327,10.0,3.0,3.0,1.144172771171725,3.0,10.0,,,3.3663627933369327,,,,,,,,,False,False,auto_reject_low_priority,4392,0.343757,deprioritize_not_final_label_do_not_train_as_negative,validated_period_available,False,auto_only,auto_hold_needs_review,"Stage F reject in hold audit; route to reject audit before any label update; artifact/reject features: primary_snr=2.728, num_events=3",add_to_reject_audit_queue_before_training,internal_autovet,0.8787158131599426,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
5,EPIC_211805860,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.9799; triage_score_global=-0.6545; triage_step_score=0.03755; triage_whiteness_score=0.9927; best_shape_score=0.7917; best_depth_snr=29.67; n_events=23; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7494603076489534,0.7494603076489534,0.9799116849899292,0.9780488014221193,0.9167323648929596,13,-0.6545424017524369,0.0375549731472974,0.992725441051462,0.7917292751260029,29.66899119138342,23.0,0.0,0.0,,0.0,23.0,,,29.66899119138342,,,,,,,,,False,False,needs_period_search,376,0.446494,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; artifact/reject features: primary_snr=4.671, num_events=8",run_period_search_before_label_update,internal_autovet,0.9799116849899292,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
6,EPIC_211730838,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.9896; triage_score_global=-0.6226; triage_step_score=0.1219; triage_whiteness_score=0.9736; best_shape_score=0.852; best_depth_snr=11.82; n_events=57; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7469517964649529,0.7469517964649529,0.9896190762519836,0.9817512035369872,0.9634389460086824,13,-0.6226337201791865,0.12194973340431,0.973580232107512,0.8520342707506945,11.820047898454524,57.0,0.0,0.0,,0.0,57.0,,,11.820047898454524,,,,,,,,,False,False,needs_period_search,470,0.39447,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; artifact/reject features: primary_snr=4.047, num_events=54",run_period_search_before_label_update,internal_autovet,0.9896190762519836,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
7,EPIC_211586814,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.8915; triage_score_global=-0.6576; triage_step_score=0.01416; triage_whiteness_score=0.9945; best_shape_score=0.8154; best_depth_snr=43.46; n_events=17; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7451250285982689,0.7451250285982689,0.8914650678634644,0.8775925834973654,0.7864209592342377,13,-0.6575603845968211,0.0141569588484834,0.9945362307580926,0.8154217580767608,43.463627452523205,17.0,0.0,0.0,,0.0,17.0,,,43.463627452523205,,,,,,,,,False,False,needs_period_search,60,0.627888,run_period_search_before_stage_i_plot_generation,no_saved_period_support; external_score_support,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; EB risk features: odd_even_ratio=0.5385, odd_even_delta=0.6, secondary_ratio=0, alias_risk=low",run_period_search_before_label_update,internal_autovet,0.8914650678634644,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
8,EPIC_212020442,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.8968; triage_score_global=-0.6642; triage_step_score=0.01767; triage_whiteness_score=0.9985; best_shape_score=0.8115; best_depth_snr=55.3; n_events=31; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7428483087199219,0.7428483087199219,0.8967928290367126,0.8541512290636698,0.7530548512935639,13,-0.6641640101062071,0.0176740192452666,0.9984984060637242,0.8114725864840099,55.30061058733229,31.0,0.0,0.0,,0.0,31.0,,,55.30061058733229,,,,,,,,,False,False,needs_period_search,104,0.601309,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,original AutoVet evidence had missing/weak saved period support,run_period_search_before_label_update,internal_autovet,0.8967928290367126,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
9,EPIC_211409713,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.9657; triage_score_global=-0.6565; triage_step_score=0.0222; triage_whiteness_score=0.9939; best_shape_score=0.7519; best_depth_snr=35.02; n_events=33; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7339645163980263,0.7339645163980263,0.9656775593757628,0.9628158410390218,0.9434590101242064,13,-0.6564612037038222,0.0221984034442041,0.9938767222222932,0.7519119510275154,35.02133881228043,33.0,0.0,0.0,,0.0,33.0,,,35.02133881228043,,,,,,,,,False,False,needs_period_search,33,0.642453,run_period_search_before_stage_i_plot_generation,no_saved_period_support; external_score_support,False,auto_only,auto_hold_needs_review,original AutoVet evidence had missing/weak saved period support,run_period_search_before_label_update,internal_autovet,0.9656775593757629,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
10,EPIC_211429653,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.8376; triage_score_global=-0.666; triage_step_score=0.01249; triage_whiteness_score=0.9996; best_shape_score=0.8245; best_depth_snr=31.64; n_events=13; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7259421211482318,0.7259421211482318,0.8376439809799194,0.813077449798584,0.7664154529571533,427,-0.6659565450197219,0.0124949810086651,0.9995739270118332,0.8245288796754333,31.635228967988933,13.0,0.0,0.0,,0.0,13.0,,,31.635228967988933,,,,,,,,,False,False,needs_period_search,222,0.540741,run_period_search_before_stage_i_plot_generation,no_saved_period_support; external_score_support,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; EB risk features: odd_even_ratio=0.2465, odd_even_delta=1.471, secondary_ratio=0, alias_risk=low; artifact/reject features: primary_snr=3.25, num_events=5",run_period_search_before_label_update,internal_autovet,0.8376439809799194,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
11,EPIC_211952381,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.8227; triage_score_global=-0.6633; triage_step_score=0.03956; triage_whiteness_score=0.998; best_shape_score=0.8692; best_depth_snr=87.69; n_events=20; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7236856790648142,0.7236856790648142,0.8226560354232788,0.7990825374921163,0.7463689088821411,427,-0.6633052176984278,0.0395589898846376,0.9979831306190566,0.8692289121720306,87.68611864530789,20.0,0.0,0.0,,0.0,20.0,,,87.68611864530789,,,,,,,,,False,False,needs_period_search,236,0.536341,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,original AutoVet evidence had missing/weak saved period support,run_period_search_before_label_update,internal_autovet,0.8226560354232788,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
12,EPIC_211991001,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.841; triage_score_global=-0.6663; triage_step_score=0.008999; triage_whiteness_score=0.9998; best_shape_score=0.8668; best_depth_snr=22.45; n_events=24; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.722317404729958,0.722317404729958,0.8409702777862549,0.798186739285787,0.7592382848262786,427,-0.6663469621501102,0.0089993733313996,0.999808177290066,0.8668372310445766,22.45209843899017,24.0,0.0,0.0,,0.0,24.0,,,22.45209843899017,,,,,,,,,False,False,needs_period_search,220,0.541549,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,original AutoVet evidence had missing/weak saved period support,run_period_search_before_label_update,internal_autovet,0.8409702777862549,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
13,EPIC_211920612,auto_hold_needs_review,0.58,run_period_search_or_stage_i_plot_generation_before_candidate_promotion,"Some signal evidence exists, but there is no reliable saved period support.",no_reliable_period_support; possible_signal_requires_period_search,flux_p_science_like=0.8228; triage_score_global=-0.6454; triage_step_score=0.03999; triage_whiteness_score=0.9872; best_shape_score=0.8198; best_depth_snr=1415; n_events=16; n_periods_validated=0; best_period_days=NA; primary_depth=NA; radius_ratio_sqrt_depth=NA; secondary_to_primary_depth_ratio=NA; odd_even_depth_delta_explicit=NA; oot_variability_to_depth=NA; alias_best_support_ratio=NA; spike_fraction_2cadence=NA,0.7184317753187355,0.7184317753187355,0.8228314518928528,0.7863908012708029,0.7581916570663452,427,-0.6454093899416606,0.0399888077915627,0.9872456339649964,0.8198269452603949,1414.662660857537,16.0,0.0,0.0,,0.0,16.0,,,1414.662660857537,,,,,,,,,False,False,needs_period_search,211,0.548169,run_period_search_before_stage_i_plot_generation,no_saved_period_support,False,auto_only,auto_hold_needs_review,"original AutoVet evidence had missing/weak saved period support; EB risk features: odd_even_ratio=0.3038, odd_even_delta=0.9821, secondary_ratio=0, alias_risk=low",run_period_search_before_label_update,internal_autovet,0.8228314518928528,true,manual_vetted_count_36_to_100,existing_stage_i_review_queue_order_excluding_already_manual_vetted,transit_morphology_score,morphology_scorer_only,frozen_batch3_transit_morphology_policy_2026-05-15
