epic_id,source_batch,best_period_days,stage_g_final_recommendation,final_recommendation,stage_f_label,stage_h_label,visual_label,final_candidate_status,review_bin,status_reason,visual_notes,reviewer,reviewed_at,recommended_next_action,stage_h_notes,phase_0_folded_path,validation_summary_json_path,stage_f_closed_45_approved_ledger_status,stage_f_closed_45_ledger_priority,stage_f_closed_45_evidence_summary,stage_f_closed_45_caveats,stage_f_closed_45_ledger_change_type,stage_g_v2_support_tier,stage_g_v2_calibrated_score,stage_g_v2_annotation_only,stage_h_status,stage_h_training_label_v3,stage_h_science_binary_v3,stage_h_ledger_status,stage_h_ledger_priority,stage_h_reason,stage_h_reviewed_at,stage_h_reviewer,stage_h_previous_final_candidate_status,stage_h_previous_final_recommendation,stage_h_previous_training_label_v3,stage_h_previous_science_binary_v3
EPIC_211534076,positive_controls,15.221580048255191,top_followup_candidate,top_followup_candidate,stage_f_planet_like,known_unconfirmed_candidate,,recovered_known_unconfirmed_candidate,recovered_positive_control,Known unconfirmed candidate recovered by pipeline; use as candidate-positive recovery benchmark.,Known unconfirmed candidate recovered by pipeline; use as candidate-positive recovery benchmark.,,,use as candidate-positive recovery benchmark; literature follow-up / monitor for confirmation,Known unconfirmed candidate recovered by pipeline; use as candidate-positive recovery benchmark.,plots\k2_batch\stage_f_followup\EPIC_211534076\phase_0_folded.png,plots\k2_batch\stage_f_followup\EPIC_211534076\validation_summary.json,confirmed_or_known_planet_reference,reference_control_high,label=candidate_like; science_binary=science_like; source_status=recovered_known_unconfirmed_candidate; Stage G tier=strong_support (score=0.703777551032); flux_p_science_like=0.654113054276; period=15.221580048255 d; training_label_rule=final_candidate_status:recovered_known_unconfirmed_candidate; source_batch=positive_controls; stage_f_label=stage_f_planet_like; stage_h_label=known_unconfirmed_candidate,Recovered known unconfirmed candidate/control; preserve known-unconfirmed/reference status and do not treat Stage G as a new promotion authority.,update,strong_support,0.703777551032,TRUE,,,,,,,,,,,,
EPIC_211889692,positive_controls,17.673423499920546,followup_candidate_with_variability_caution,K2-108 b benchmark,stage_f_planet_like,known_confirmed_planet,,recovered_known_confirmed_planet,recovered_positive_control,Externally identified as K2-108 b confirmed/validated planet host; local catalog missed crossmatch.,Externally identified as K2-108 b confirmed/validated planet host; local catalog missed crossmatch.,,,use as benchmark positive / recovered known planet K2-108 b,Externally identified as K2-108 b confirmed/validated planet host; local catalog missed crossmatch.,plots\k2_batch\stage_f_followup\EPIC_211889692\phase_0_folded.png,plots\k2_batch\stage_f_followup\EPIC_211889692\validation_summary.json,confirmed_or_known_planet_reference,reference_control,label=planet_like; science_binary=science_like; source_status=recovered_known_confirmed_planet; Stage G tier=review_support (score=0.516237480665); flux_p_science_like=0.647940158844; period=17.673423499921 d; training_label_rule=final_candidate_status:recovered_known_confirmed_planet; source_batch=positive_controls; stage_f_label=stage_f_planet_like; stage_h_label=known_confirmed_planet,Known confirmed/recovered planet; keep reference status and do not demote because Stage G is only review_support.,update,review_support,0.516237480665,TRUE,,,,,,,,,,,,
EPIC_211490307,stage_f_next10_batch1,12.80064960272307,,,stage_f_planet_like,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211490307\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211490307\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211525754,stage_f_next10_batch1,13.198848621046864,,,stage_f_planet_like,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211525754\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211525754\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211551640,stage_f_next10_batch1,10.563287809098483,,,stage_f_planet_like,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211551640\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211551640\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211554121,stage_f_next10_batch1,14.057024791287404,,,stage_f_hold,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211554121\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211554121\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211555255,stage_f_next10_batch1,9.929781530910986,,,stage_f_planet_like,,visual_reject_noise_or_variability,reject_manual_false_positive,manual_false_positive_noise_or_variability,,Folded transit not clean; aliases show similar structure; OOT variability dominates. Likely stellar/systematic false positive.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211555255\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211555255\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211563576,stage_f_next10_batch1,17.142289455598302,,,stage_f_hold,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211563576\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211563576\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211739276,stage_f_next10_batch1,19.164904292916617,,,stage_f_planet_like,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211739276\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211739276\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211842439,stage_f_next10_batch1,15.93678195803659,,,stage_f_planet_like,,visual_possible_candidate_low_priority,hold_low_priority_candidate,low_priority_candidate_hold,,"Metrics clean and odd/even strong, but morphology is shallow/rounded and visually not compelling. Keep as secondary-tier possible candidate.",OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211842439\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211842439\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211972200,stage_f_next10_batch1,18.91986675386579,,,stage_f_planet_like,,visual_reject_eclipsing_binary,reject_as_planet_binary_system,real_nonplanet_eclipsing_binary,,"Strong coherent repeating astrophysical signal with deep eclipses, long duration, odd/even asymmetry, and secondary-phase structure. Real system, likely EB, not planet.",OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_211972200\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_211972200\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_212003686,stage_f_next10_batch1,12.44296006046352,,,stage_f_planet_like,,visual_reject_after_manual_review,reject_manual_false_positive,manual_false_positive_visual_review,,Manual visual review did not show convincing planet-like transit morphology.,OC,2026-04-30,,,plots\k2_batch\stage_f_next10\EPIC_212003686\phase_0_folded.png,plots\k2_batch\stage_f_next10\EPIC_212003686\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211520800,stage_f_next10_batch2_manual_review,15.569002305841424,,deprioritize_after_manual_visual_review,stage_f_reject,,visual_deprioritize_after_manual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,deprioritize after manual visual review,,plots\k2_batch\stage_f_next10_batch2\EPIC_211520800\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211520800\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211748059,stage_f_next10_batch2_manual_review,17.42822978276672,,secondary_hold,stage_f_planet_like,,visual_secondary_hold,secondary_hold,secondary_hold,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,retain in secondary hold queue,,plots\k2_batch\stage_f_next10_batch2\EPIC_211748059\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211748059\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211813858,stage_f_next10_batch2_manual_review,14.53720362356762,,deprioritize_after_manual_visual_review,stage_f_reject,,visual_deprioritize_after_manual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,deprioritize after manual visual review,,plots\k2_batch\stage_f_next10_batch2\EPIC_211813858\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211813858\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211878672,stage_f_next10_batch2_manual_review,10.716529819124844,,deprioritize_after_manual_visual_review,stage_f_reject,,visual_deprioritize_after_manual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,deprioritize after manual visual review,,plots\k2_batch\stage_f_next10_batch2\EPIC_211878672\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211878672\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211887206,stage_f_next10_batch2_manual_review,16.447552240118966,,deprioritize_after_manual_visual_review,stage_f_reject,,visual_deprioritize_after_manual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,deprioritize after manual visual review,,plots\k2_batch\stage_f_next10_batch2\EPIC_211887206\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211887206\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211926132,stage_f_next10_batch2_manual_review,16.723298121680273,,secondary_hold,stage_f_reject,,visual_secondary_hold,secondary_hold,secondary_hold,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,retain in secondary hold queue,,plots\k2_batch\stage_f_next10_batch2\EPIC_211926132\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211926132\validation_summary.json,,,,,,,,,,,,,,,,,,,,
