stage_g_rank,epic_id,stage_g_calibrated_score,stage_g_review_tier,stage_g_ledger_review_action,stage_g_review_reason,flux_p_science_like,stage_d_quality_score,stage_f_quality_score,stage_g_odd_even_penalty_component,stage_g_secondary_penalty_component,stage_g_oot_penalty_component,stage_g_alias_penalty_component,training_label_v3,science_binary_v3,source_batch,final_candidate_status,review_bin,visual_label,final_candidate_rank,final_recommendation,candidate_summary_md_path,stage_d_reason,stage_r_reason,events_csv
1,EPIC_211842439,0.8241968509804375,A_calibrated_followup_review,calibration_false_positive_do_not_promote,flux=0.661; score=0.824; flux>=0.60,0.6608452796936035,0.8098610962637469,0.9833717110284048,0.0831414448579762,0.0,0.0,0.0,uncertain_hold,not_science_like,stage_f_next10_batch1,hold_low_priority_candidate,low_priority_candidate_hold,visual_possible_candidate_low_priority,,,,period_support_count=14; depth_consistency=0.913; duration_consistency=1.000; validated cache-light-curve support,promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.077,plots\k2_batch\epics\EPIC_211842439\events.csv
2,EPIC_212001099,0.7799260184517537,A_calibrated_followup_review,candidate_supported_by_calibrated_layer,flux=0.813; score=0.780; flux>=0.60,0.8128641843795776,0.6962114784793515,0.8760970094751621,0.2090292759776802,0.0,0.1364346346145133,0.0,planet_like,science_like,stage_f_next10_batch2_verified_five,promote_primary_candidate,promoted_candidate,visual_promote_primary_candidate,,,,period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.107,plots\k2_batch\epics\EPIC_212001099\events.csv
3,EPIC_211534076,0.7037775510318484,A_calibrated_followup_review,candidate_supported_by_calibrated_layer,flux=0.654; score=0.704; flux>=0.60,0.6541130542755127,0.7226062005650227,0.9186451273445112,0.2858402814651838,0.0,0.161245442416348,0.0,candidate_like,science_like,positive_controls,recovered_known_unconfirmed_candidate,recovered_positive_control,,1.0,top_followup_candidate,plots\k2_batch\stage_g_dossiers\EPIC_211534076\candidate_summary.md,period_support_count=16; depth_consistency=0.812; duration_consistency=0.957; validated cache-light-curve support,promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.263,plots\k2_batch\epics\EPIC_211534076\events.csv
4,EPIC_211530033,0.6665948900723013,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.636; score=0.667; flux>=0.60,0.6364273428916931,0.7969143077790355,0.8376791346663713,0.3929522308405608,0.0,0.0842688354902597,0.5,noise_or_artifact,not_science_like,,,,,,,,period_support_count=10; depth_consistency=0.909; duration_consistency=0.936; validated cache-light-curve support,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.115,plots\k2_batch\epics\EPIC_211530033\events.csv
5,EPIC_211396246,0.6653465304461603,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.667; score=0.665; flux>=0.60,0.6674925088882446,0.6774223476782854,0.8369467945824071,0.1134508558798302,0.0,0.0047899859787796,0.55,noise_or_artifact,not_science_like,,,,,,,,period_support_count=8; depth_consistency=0.832; duration_consistency=0.952; validated cache-light-curve support,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.208,plots\k2_batch\epics\EPIC_211396246\events.csv
6,EPIC_211972200,0.6644802874706641,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.660; score=0.664; flux>=0.60,0.6598517894744873,0.7688464015477825,0.83996173590777,0.4523261314712872,0.0,0.4638202519864841,0.0,binary_system,not_science_like,stage_f_next10_batch1,reject_as_planet_binary_system,real_nonplanet_eclipsing_binary,visual_reject_eclipsing_binary,,,,period_support_count=19; depth_consistency=0.970; duration_consistency=1.000; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.040,plots\k2_batch\epics\EPIC_211972200\events.csv
7,EPIC_211525754,0.6257115326534305,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.614; score=0.626; flux>=0.60,0.6139881610870361,0.7190406398678482,0.8637704404155293,0.3553258789712254,0.0,0.3296673205062656,0.157142857142857,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=14; depth_consistency=0.918; duration_consistency=0.958; validated cache-light-curve support,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217,plots\k2_batch\epics\EPIC_211525754\events.csv
8,EPIC_211988531,0.6215044622026757,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.628; score=0.622; flux>=0.60,0.6275991201400757,0.7016836847032856,0.873690739044726,0.3694923164254132,0.0,0.2006873690833275,0.223076923076923,uncertain_hold,not_science_like,stage_f_next10_batch2_verified_five,hold_borderline_candidate,candidate_hold,visual_hold_borderline_candidate,,,,period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.227,plots\k2_batch\epics\EPIC_211988531\events.csv
9,EPIC_211490307,0.6015330828227734,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.729; score=0.602; flux>=0.60,0.7290341258049011,0.6888812084802352,0.8190975506496548,0.7529377338887026,0.0,0.2902533302922108,0.1888888888888888,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=18; depth_consistency=0.842; duration_consistency=0.614; validated cache-light-curve support,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.194,plots\k2_batch\epics\EPIC_211490307\events.csv
10,EPIC_211748059,0.5876390114996765,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.682; score=0.588; flux>=0.60,0.6816136837005615,0.6643256216823236,0.7375186919144469,0.6268928111602242,0.0,0.1460909890929809,0.157142857142857,uncertain_hold,not_science_like,stage_f_next10_batch2_verified_five,reject_low_confidence_shallow_signal,manual_reject,visual_reject_low_confidence_shallow_signal,,,,period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support,promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.167,plots\k2_batch\epics\EPIC_211748059\events.csv
