field_name,scientific_role,expected_direction,required_or_optional,source_stage_or_file,known_limitations
triage_status,Operational validity prerequisite; composite is only evaluated on successfully processed rows,"must be 'ok'","required","src/Classifiers/K2/Pipeline/K2_BatchRunner.py","Operational status is not itself a noise metric; it only guards against scoring error rows."
triage_n_points,Data sufficiency prerequisite and conservative support modifier,higher_is_better,required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Captures point count only; does not fully encode cadence gaps or baseline coverage."
triage_step_score,Step/discontinuity stability component; lower values indicate smoother residual behavior,lower_is_better,required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Single summary of first-difference roughness; can miss other structured noise modes."
triage_whiteness_statistic_abs_rho,Primary autocorrelation/whiteness effect-size component; lower values are closer to white residuals,lower_is_better,required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Still limited to short-lag autocorrelation structure; may not capture all K2 systematics by itself."
triage_whiteness_mode,Semantic guard to ensure the whiteness fields are interpreted on the correct scale,"must match expected semantics",required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"A mode label is not a quality metric; it only protects interpretation."
triage_whiteness_definition,Interpretation guard documenting which whiteness definition produced the row,"must be known and explicit",required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Descriptive metadata only; does not itself improve stability assessment."
triage_whiteness_underflowed,Diagnostic escalation flag for the regime where p-value semantics became numerically extreme,true_means_higher_risk,required,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Only meaningful in p-value mode; not a standalone scientific descriptor."
n_events,Optional support feature summarizing whether the detector found actionable event structure in the row,higher_is_supportive,optional,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Detector output rather than a pure noise metric; should not dominate the composite or override stability failures."
triage_whiteness_log10_pvalue,Optional diagnostic severity trace for underflowed p-value mode; used for audit and review context,lower_is_more_extreme,optional,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Retained for transparency only; not suitable as the main policy input because it inherits the current p-value framing."
triage_whiteness_z,Optional diagnostic trace of autocorrelation test magnitude; used for review context,higher_is_more_extreme,optional,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Sample-size-amplified quantity; not appropriate as the primary policy driver."
triage_why_not_usable,Legacy diagnostic text used for side-by-side validation against the current official policy,more_flags_imply_higher_risk,optional,src/Classifiers/K2/Pipeline/K2_BatchRunner.py,"Carries current-policy language and should not be fed back into the new composite as a scored input."
