strict_rank,hybrid_v3_rank,epic_id,strict_route,strict_policy_reason,strict_promoted,strict_score_pass,hybrid_v3_strict_score,hybrid_v3_strict_fp_penalty,v3_base_score,hybrid_score_v3,training_label_v3,science_binary_v3,is_unresolved_v3,needs_stage_f_validation,flux_p_science_like,stage_d_quality_score,stage_f_quality_score,stage_f_odd_even_penalty,stage_f_oot_penalty,stage_f_secondary_penalty,stage_f_alias_penalty,best_period_days
1,1,EPIC_211842439,hold_queue,strict_score_pass_but_existing_uncertain_hold,False,True,0.6671328329871027,0.01247121672869643,0.6796040497157991,0.6671328329871027,uncertain_hold,not_science_like,False,False,0.6608452796936035,0.8098610962637469,0.9833717110284048,0.0831414448579762,0.0,0.0,0.0,15.93678195803659
4,4,EPIC_211396246,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.5672180366962062,0.04499662697985249,0.6122146636760587,0.5672180366962062,noise_or_artifact,not_science_like,False,True,0.6674925088882446,0.6774223476782854,0.8369467945824071,0.1134508558798302,0.0047899859787796,0.0,0.55,5.0670921209678
5,5,EPIC_211530033,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.5390282124483342,0.09236971817511008,0.6313979306234443,0.5390282124483342,noise_or_artifact,not_science_like,False,True,0.6364273428916931,0.7969143077790355,0.8376791346663713,0.1589125482003332,0.0842688354902597,0.0,0.5,15.50762230141845
6,6,EPIC_211988531,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.5268568674600386,0.08664643052599089,0.6135032979860294,0.5268568674600386,uncertain_hold,not_science_like,False,False,0.6275991201400757,0.7016836847032856,0.873690739044726,0.3694923164254132,0.2006873690833275,0.0,0.223076923076923,14.496263978912111
7,7,EPIC_211972200,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.5189192157606172,0.11423094491934149,0.6331501606799587,0.5189192157606172,binary_system,not_science_like,False,False,0.6598517894744873,0.7688464015477825,0.83996173590777,0.4523261314712872,0.4638202519864841,0.0,0.0,18.91986675386579
8,8,EPIC_211525754,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.5164758696978538,0.09412275675345323,0.610598626451307,0.5164758696978538,noise_or_artifact,not_science_like,False,False,0.6139881610870361,0.7190406398678482,0.8637704404155293,0.3553258789712254,0.3296673205062656,0.0,0.157142857142857,13.198848621046864
9,9,EPIC_211490307,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.48074619625721693,0.1514104375569709,0.6321566338141879,0.4807461962572169,noise_or_artifact,not_science_like,False,False,0.7290341258049011,0.6888812084802352,0.8190975506496548,0.5588915497974134,0.2902533302922108,0.0,0.1888888888888888,12.80064960272307
10,10,EPIC_211748059,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.47252570425391455,0.11650016344047458,0.5890258676943891,0.4725257042539145,uncertain_hold,not_science_like,False,False,0.6816136837005615,0.6643256216823236,0.7375186919144469,0.6268928111602242,0.1460909890929809,0.0,0.157142857142857,17.42822978276672
11,11,EPIC_211569204,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.44826712321489637,0.14496347698778853,0.5932306002026849,0.4482671232148963,noise_or_artifact,not_science_like,False,True,0.6856498718261719,0.6338573102462901,0.7791552700078092,0.7912921468524052,0.2490601859629138,0.0,0.0272727272727272,14.659857875562466
12,12,EPIC_211954033,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.4463878956945767,0.16637335550915558,0.6127612512037323,0.4463878956945767,candidate_like,science_like,False,False,0.6687077879905701,0.7606405369679347,0.7542135646601965,0.6176105836238582,0.503984346322435,0.0,0.4666666666666668,11.441882991133753
13,13,EPIC_211910082,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.43454160988786034,0.15342531087697825,0.5879669207648386,0.4345416098878603,noise_or_artifact,not_science_like,False,True,0.6361042261123657,0.7086768217347388,0.7526449447673036,0.7613164433108354,0.1172784438035296,0.0,0.55,19.798300977400004
14,14,EPIC_211551640,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.41451534131449996,0.18895383866326676,0.6034691799777667,0.4145153413144999,noise_or_artifact,not_science_like,False,False,0.6369973421096802,0.7981880275843733,0.723892413373141,0.7357839975787882,0.564433818835914,0.0,0.4428571428571428,10.563287809098483
15,15,EPIC_212003686,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.400846258636661,0.23172173431597454,0.6325679929526355,0.400846258636661,noise_or_artifact,not_science_like,False,False,0.6519076824188232,0.7804350216355603,0.8371661947886296,0.163756018687043,0.6672173431597452,0.0,0.3,12.44296006046352
16,16,EPIC_211520800,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.39572770465311125,0.15056827947854912,0.5462959841316604,0.3957277046531112,low_priority_negative,not_science_like,False,False,0.6537245512008667,0.6245700775705227,0.6453994872749055,1.0,0.0056827947854913,0.0,0.0,15.569002305841424
17,17,EPIC_211955365,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.3944497096631096,0.14337477701105988,0.5378244866741695,0.3944497096631096,low_priority_negative,not_science_like,False,False,0.6209514737129211,0.652386431029926,0.6295794524686625,0.4722063416975644,0.7182954004213948,0.0,0.0142857142857142,13.515559290237206
18,18,EPIC_211739276,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.38279502216148525,0.18841449520492964,0.5712095173664149,0.3827950221614852,noise_or_artifact,not_science_like,False,False,0.6772735118865967,0.5709689161691899,0.7656862366552344,0.5270084752298576,0.3666100397005007,0.0,0.1,19.164904292916617
19,19,EPIC_211947686,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.37863526829485933,0.19597023524983243,0.5746055035446918,0.3786352682948593,noise_or_artifact,not_science_like,False,True,0.699910044670105,0.6237533045153688,0.6947946471252513,1.0,0.1847023524983243,0.0,0.55,11.881061730008014
20,20,EPIC_211732801,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.3774815408207705,0.24367819194037493,0.6211597327611454,0.3774815408207705,binary_system,not_science_like,False,True,0.970463216304779,0.6903658530804826,0.4356245751374086,0.0415934249154224,0.6448358374884684,1.0,0.6333333333333333,8.499644226245664
21,21,EPIC_211889692,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.3668733759907108,0.25,0.6168733759907108,0.3668733759907108,planet_like,science_like,False,False,0.6479401588439941,0.9103772815812514,0.65,1.0,1.0,0.0,0.0,17.673423499920546
22,22,EPIC_211554121,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.35421232800282487,0.18823021342176038,0.5424425414245853,0.3542123280028248,noise_or_artifact,not_science_like,False,False,0.6750602722167969,0.597343576267107,0.6273422083277186,1.0,0.3823021342176039,0.0,0.0,14.057024791287404
23,23,EPIC_211833851,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.3435666345946443,0.20228663586979165,0.545853270464436,0.3435666345946443,noise_or_artifact,not_science_like,False,True,0.7019983530044556,0.6164272422704219,0.5841881453810841,1.0,0.2061996920312498,0.0,0.6333333333333333,18.61323452599368
24,24,EPIC_211563576,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.3411124091119345,0.20187876265871207,0.5429911717706466,0.3411124091119345,noise_or_artifact,not_science_like,False,False,0.645002007484436,0.6722653965897453,0.5966964800146306,1.0,0.4687876265871206,0.0,0.1,17.142289455598302
25,25,EPIC_211538087,hold_queue,manual_hold_from_stage_f_v3_recovery_batch1,False,False,0.3373546867405733,0.06176822022127944,0.3991229069618527,0.3373546867405733,,unresolved,True,True,0.5293968319892883,0.6053360630624074,0.25,0.0,0.0,0.0,0.0,10.787977590043964
26,26,EPIC_211818652,hold_queue,manual_hold_from_stage_f_v3_recovery_batch1,False,False,0.33267412519032374,0.07929848632647597,0.4119726115167997,0.3326741251903237,,unresolved,True,True,0.5625735521316528,0.6102874730828849,0.25,0.0,0.0,0.0,0.0,11.42133326516705
27,27,EPIC_211972767,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.3262901788082704,0.23867481302521296,0.5649649918334834,0.3262901788082704,variable_or_artifact,not_science_like,False,True,0.6733503341674805,0.6953084451485491,0.6218610543509117,1.0,0.8342118083497416,0.0112319740763012,0.0826086956521739,17.10134562114399
28,28,EPIC_211555255,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.31700974482126,0.17702872477097184,0.4940384695922318,0.31700974482126,noise_or_artifact,not_science_like,False,False,0.4000849425792694,0.7270512902601984,0.6889836684977515,0.3404098340360366,0.9448375946887464,0.314834901966917,0.0,9.929781530910986
29,29,EPIC_211926132,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.3046543638352454,0.2507142857142857,0.5553686495495311,0.3046543638352454,uncertain_hold,not_science_like,False,False,0.6761777400970459,0.7819009475612353,0.4929248145010254,1.0,1.0,0.0,0.0142857142857142,16.723298121680273
30,30,EPIC_211908778,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.2968011370789394,0.15,0.4468011370789394,0.2968011370789394,candidate_like,science_like,False,True,0.6561423540115356,0.6186052526996079,0.25,0.0,0.0,0.0,0.0,14.945896123012062
31,31,EPIC_211552564,hold_queue,manual_hold_from_stage_f_v3_recovery_batch1,False,False,0.28990513174730903,0.15,0.439905131747309,0.289905131747309,,unresolved,True,True,0.6611554622650146,0.5840028798182156,0.25,0.0,0.0,0.0,0.0,18.53167560711927
32,32,EPIC_211813858,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.2890585016508334,0.2271191681492692,0.5161776698001026,0.2890585016508334,low_priority_negative,not_science_like,False,False,0.5686697959899902,0.71088861020503,0.5576843546093941,0.7234293683820746,0.8028653317625861,0.0,0.223076923076923,14.53720362356762
33,33,EPIC_211936906,hold_queue,manual_hold_from_stage_f_v3_recovery_batch1,False,False,0.28328205158232744,0.15,0.4332820515823274,0.2832820515823274,,unresolved,True,True,0.7025758028030396,0.4995220824050547,0.25,0.0,0.0,0.0,0.0,15.466843811052968
34,34,EPIC_211404127,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.28326424405092454,0.15,0.4332642440509245,0.2832642440509245,candidate_like,science_like,False,True,0.626497745513916,0.605960132484216,0.25,0.0,0.0,0.0,0.0,18.613248512338032
35,35,EPIC_211759361,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.27974429014042745,0.15,0.4297442901404274,0.2797442901404274,candidate_like,science_like,False,True,0.7104972004890442,0.4742810798770479,0.25,0.0,0.0,0.0,0.0,14.608622348492643
36,36,EPIC_211598703,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.275816648039786,0.15,0.425816648039786,0.275816648039786,noise_or_artifact,not_science_like,False,True,0.7037513256072998,0.4680147363089244,0.25,0.0,0.0,0.0,0.0,16.16143666474818
37,37,EPIC_211887206,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.26706078714369624,0.25666666666666665,0.5237274538103629,0.2670607871436962,low_priority_negative,not_science_like,False,False,0.6916623115539551,0.6535368834776326,0.4730456955882819,1.0,1.0,0.0,0.1333333333333334,16.447552240118966
38,38,EPIC_211746706,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.2659068502075109,0.15,0.4159068502075109,0.2659068502075109,noise_or_artifact,not_science_like,False,True,0.6493770480155945,0.5044995336082114,0.25,0.0,0.0,0.0,0.0,17.959520721076842
39,39,EPIC_211537297,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.2616798477323171,0.15,0.4116798477323171,0.2616798477323171,uncertain_hold,unresolved,False,True,0.6927534937858582,0.4268644996290671,0.25,0.0,0.0,0.0,0.0,18.75653827464748
40,40,EPIC_211423229,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.2586967659273577,0.15,0.4086967659273577,0.2586967659273577,noise_or_artifact,not_science_like,False,True,0.6713709831237793,0.4448676873361398,0.25,0.0,0.0,0.0,0.0,12.54515116427524
41,41,EPIC_211791780,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.25459983497393024,0.12757022246846397,0.3821700574423942,0.2545998349739302,uncertain_hold,unresolved,False,True,0.5116586685180664,0.562358093844284,0.25,0.0,0.0,0.0,0.0,18.00028949379339
42,42,EPIC_211562803,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.25280893718058006,0.15,0.4028089371805801,0.25280893718058,uncertain_hold,unresolved,False,True,0.5512091517448425,0.5895429362795407,0.25,0.0,0.0,0.0,0.0,12.40209570488514
43,43,EPIC_211821200,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.2526784613311064,0.15,0.4026784613311064,0.2526784613311064,uncertain_hold,unresolved,False,True,0.5946117639541626,0.528257375788598,0.25,0.0,0.0,0.0,0.0,16.794808524282416
44,44,EPIC_211631955,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.2504381612945168,0.15,0.4004381612945168,0.2504381612945168,uncertain_hold,unresolved,False,True,0.6326863169670105,0.4659918014242526,0.25,0.0,0.0,0.0,0.0,17.15240334661553
45,45,EPIC_211306307,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.24625362909197532,0.15,0.3962536290919753,0.2462536290919753,noise_or_artifact,not_science_like,False,True,0.6227284073829651,0.4631947460317505,0.25,0.0,0.0,0.0,0.0,14.91521162303252
46,46,EPIC_211770415,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.2372623662236796,0.15,0.3872623662236796,0.2372623662236796,uncertain_hold,unresolved,False,True,0.6365688443183899,0.4078530828489726,0.25,0.0,0.0,0.0,0.0,16.958293843759748
47,47,EPIC_211409604,hold_queue,existing_uncertain_hold_not_strict_promoted,False,False,0.2210879859290902,0.15,0.3710879859290902,0.2210879859290902,uncertain_hold,unresolved,False,True,0.5682498216629028,0.4388021933882969,0.25,0.0,0.0,0.0,0.0,16.284045151696773
48,48,EPIC_211511562,not_promoted_reject_or_archive,not_strict_promoted,False,False,0.1977820915776826,0.15,0.3477820915776826,0.1977820915776826,,unresolved,True,False,0.4124777317047119,0.5636595419241336,0.25,0.0,0.0,0.0,0.0,17.499746383455204
49,49,EPIC_211686773,not_promoted_reject_or_archive,not_strict_promoted,False,False,0.18775554023313348,0.15,0.3377555402331335,0.1877555402331334,,unresolved,True,False,0.4003331363201141,0.5405557700843742,0.25,0.0,0.0,0.0,0.0,18.9197125450155
50,50,EPIC_211425098,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.18750214154776385,0.3421098860743244,0.5296120276220883,0.1875021415477638,noise_or_artifact,not_science_like,False,True,0.6942556500434875,0.7842805349856147,0.3622096654418557,0.914979782133691,0.5486291875427074,1.0,1.0,12.238654773791268
51,51,EPIC_211434347,not_promoted_reject_or_archive,not_strict_promoted,False,False,0.1718915404506994,0.15,0.3218915404506994,0.1718915404506994,,unresolved,True,False,0.3952902853488922,0.4841597623143486,0.25,0.0,0.0,0.0,0.0,19.839143887955288
52,52,EPIC_211878672,not_promoted_reject_or_archive,explicit_negative_or_artifact_not_promoted,False,False,0.1390097500537677,0.3273705999988502,0.4663803500526179,0.1390097500537677,low_priority_negative,not_science_like,False,False,0.7071822881698608,0.5887875240625448,0.2866786727101217,0.7506892727044706,0.7302413335683653,1.0,0.3,10.716529819124844
