review_batch,review_source_queue,reviewed_at,reviewer,epic_id,manual_packet_rank,packet_group,group_rank,sanity_sample_rank,manual_label,manual_label_family,training_eligibility,manual_reject_class,manual_reason,reason_status,manual_vetted,gatevetter_prediction,gatevetter_v0_2_reason,primary_gate,reject_sanity_score,gatevetter_score,candidate_survivor_score,cnn_score,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_depth_snr,secondary_to_primary_depth_ratio,oot_to_depth,candidate_period_count,event_family_count,alias_risk,fallback_period_flag,duration_fraction_of_period,best_period_days,transit_duration_hours,period_source,period_ambiguity_flag,period_comparison_status,trusted_period_validation,metric_trust_level,stage_g_action,hard_gate_fired,hard_gates_fired,hold_gates_fired,risk_gates_fired,penalties_or_missing_evidence,rule_trace,score_components,plot_path,packet_dir,notes
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211972837,3,eb_variable_rejects_all,3,15,false_positive_eb_or_variable,negative,exclude_for_now,EB/variable,Manual sanity review confirms the EB/variable-gate reject is correct.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,gate3_eb_or_variable_risk,1.3472222222222223,0.0,0.0,0.7281253933906555,0.06605886485093276,2.566045124740027,0.9729270676024682,12.869633951551936,3.3086575420606517,0.2705479639108514,13,62,low,true,0.093458,1.09309,2.4517995083006086,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,Gate 3 route: EB/variable risk,none,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211972837/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211972837,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211703338,5,eb_variable_rejects_all,5,19,false_positive_eb_or_variable,negative,exclude_for_now,EB/variable,Manual sanity review confirms the EB/variable-gate reject is correct.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,gate3_eb_or_variable_risk,1.3055555555555556,0.0,0.0,0.6497282981872559,0.0004494952856284318,5.371281312759729,0.6237437265602954,0.0,0.0,0.01406872766627033,21,9,low,true,0.041032,4.9794397092850184,4.903650746913626,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,Gate 3 route: EB/variable risk,none,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211703338/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211703338,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211938794,1,eb_variable_rejects_all,1,1,false_positive_eb_or_variable,negative,exclude_for_now,EB/variable,Manual sanity review confirms the EB/variable-gate reject is correct.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,gate3_eb_or_variable_risk,1.7916666666666667,0.0,0.0,0.9436482191085815,0.00801349020553932,1.567234865882843,,1.738163860989649,1.0722006654388538,,22,6,period_ambiguous,true,0.039232,1.5623961425910602,1.4710910666326522,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211938794/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211938794,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211548229,2,eb_variable_rejects_all,2,4,noise_or_variable,negative,exclude_for_now,noise/variable,Manual sanity review confirms the reject is correct; best interpretation is noise/variable.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,gate3_eb_or_variable_risk,1.6388888888888888,0.0,0.0,0.9589669108390808,0.0005023719499264168,0.771491195425674,,0.4145588187574088,0.5868423562219768,,23,6,period_ambiguous,true,0.119318,0.59933,1.7162637200381134,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211548229/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211548229,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211973836,4,eb_variable_rejects_all,4,16,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the reject is correct; best interpretation is noise/artifact.,complete_user_supplied,true,false_positive_eb_or_variable,eb_or_variable_gate,gate3_eb_or_variable_risk,1.3333333333333333,0.0,0.0,0.9505089521408081,1.3879070252187375e-05,0.12125352562925916,,0.09424958725644608,0.7714522191715155,,25,6,period_ambiguous,true,0.015564,1.31274,0.49036661806167003,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211973836/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211973836,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_212012387,6,weak_incomplete_rejects_top5_by_cnn_snr,1,2,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,complete_user_supplied,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,gate6_weak_or_incomplete_signal,1.75,0.35,0.540831,0.9351791739463806,0.000244520198913023,1.2451502533903427,,-0.1462733751863528,-0.11231704481593044,,21,6,period_ambiguous,true,0.002311,22.101252638746153,1.2259028079570264,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.420831|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_212012387/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_212012387,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_212013215,7,weak_incomplete_rejects_top5_by_cnn_snr,2,3,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,complete_user_supplied,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,gate6_weak_or_incomplete_signal,1.6805555555555556,0.35,0.466733,0.8594058752059937,0.000534984971638508,1.7224044847031703,,-0.9518814155877768,-0.6697333621914255,,18,6,period_ambiguous,true,0.140626,0.65381,2.206622622034045,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.386733|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.04,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_212013215/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_212013215,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211812160,8,weak_incomplete_rejects_top5_by_cnn_snr,3,5,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,complete_user_supplied,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,gate6_weak_or_incomplete_signal,1.5833333333333335,0.35,0.564085,0.9868557453155518,0.0001705477520290155,0.6215851589228855,,0.005890714926443,0.009840063302008668,,30,2,period_ambiguous,true,0.084771,1.0846186302259133,2.2066577951190984,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.444085|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211812160/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211812160,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211954593,9,weak_incomplete_rejects_top5_by_cnn_snr,4,6,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,complete_user_supplied,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,gate6_weak_or_incomplete_signal,1.5277777777777777,0.35,0.500041,0.8445345163345337,0.00047343389507581435,1.1269290738731346,,-0.0547864007336957,-0.04826597446727024,,22,6,period_ambiguous,true,0.057692,1.23953,1.7162627506186248,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.380041|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211954593/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211954593,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
gatevetter_v0_2_batch_next_manual_reject_sanity_review,manual_reject_sanity_packet,2026-06-22,user_provided_manual_review,EPIC_211933828,10,weak_incomplete_rejects_top5_by_cnn_snr,5,7,reject_as_noise_or_artifact,negative,exclude_for_now,noise/artifact,Manual sanity review confirms the weak/incomplete-gate reject is correct as noise/artifact.,complete_user_supplied,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,gate6_weak_or_incomplete_signal,1.4861111111111112,0.35,0.519585,0.8879664540290833,0.00037378363993534336,0.7399077150130144,,-0.08142938342067695,-0.11394053844892653,,29,4,period_ambiguous,true,0.01715,7.74368,3.1873473919113158,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.399585|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211933828/summary_panel.png,plots/k2_batch/gatevetter_v0_2_batch_next/reject_sanity_high_cnn_high_snr/EPIC_211933828,Manual reject-sanity review is ledger-only for now; no CNN retraining and no GateVetter v0.2 threshold update.
