epic_id,final_manual_label,decisive_failure_mode,decisive_period_hypothesis,key_supporting_metrics,v0_2_blocking_reason,did_v0_2_handle_correctly,proposed_v0_3_diagnostic,change_classification,notes
EPIC_211624954,uncertain_hold_positive,Untrusted period with a possible near-equal secondary at 2P; remains an uncertain positive hold and must not be promoted.,"P is unresolved; 2P = 3.07842 d is the concerning competing hypothesis, not a confirmed EB solution.","2P: primary SNR=2.7581, secondary SNR=2.5696, secondary/primary=0.9564, odd/even=0.891, OOT/depth=0.3876, coherence=moderate (0.6339), secondary=concerning",incomplete_or_uncertain_candidate_evidence; primary_gate=gate6_conservative_hold; hold_gates=none; penalties=gate2_fallback_period_context,yes_for_non_promotion_and_recorded_v0_2_block,Record the 2P competing-secondary result and explicit non-promotion outcome in the rule trace; retain manual hold handling.,recording_change_only,Possible 2P EB concern is insufficient to alter the uncertain_hold_positive label.
EPIC_211687388,false_positive_eb_or_variable,"Competing-period EB/variable evidence, including a stronger coherent secondary at 2P.",2P = 24.14212 d competing EB hypothesis.,"2P: primary SNR=3.6634, secondary SNR=4.7906, secondary/primary=1.3223, odd/even=0.8924, OOT/depth=0.3206, coherence=strong (0.9364), secondary=concerning",gate_blocked_candidate_hold; primary_gate=gate3_odd_even_ratio_le_0.75; hold_gates=gate3_odd_even_ratio_le_0.75; penalties=gate2_fallback_period_context,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,v0.2 blocked on nominal-period odd/even evidence; the decisive manual interpretation came from competing-period review.
EPIC_211768304,false_positive_eb_or_variable,"Coherent near-equal secondary structure at 2P with odd/even concern, elevated OOT variability, and an untrusted period.",2P = 19.6963 d weak EB/stellar false-positive hypothesis.,"2P: primary SNR=3.013, secondary SNR=2.5502, secondary/primary=0.8578, odd/even=0.6969, OOT/depth=0.7189, coherence=strong (0.7815), secondary=concerning",gate_blocked_candidate_hold; primary_gate=gate4_oot_to_depth_ge_0.30; hold_gates=gate4_oot_to_depth_ge_0.30; penalties=gate2_fallback_period_context,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,The listed validation_summary.json is absent locally; validation_summary_1.json and the EPIC period_comparison.csv provide the source evidence.
EPIC_211996306,reject_as_noise_or_artifact,"Weak, unreliable event evidence with excessive surrounding variability.","No credible period; P/2, P, and 2P remain weak or variability-dominated.",P/2/P/2P primary SNR=1.6621/2.87/2.1847; OOT/depth=1.0045/1.0497/0.6517; event support=6/8/5; baseline=insufficient_events/insufficient_events/insufficient_events,gate_blocked_candidate_hold; primary_gate=gate4_oot_to_depth_ge_0.50; hold_gates=gate4_oot_to_depth_ge_0.50; penalties=gate2_fallback_period_context|weak_primary_depth_snr,yes_for_non_promotion_and_recorded_v0_2_block,Retain the existing OOT/depth and weak-primary handling; no new behavioral diagnostic is supported by this review.,no_change_required,"Although 2P has a concerning secondary metric, the final manual label is noise/artifact and must not be changed to EB."
EPIC_211959909,false_positive_eb_or_variable,Strong coherent secondary/EB interpretation at 2P.,2P = 9.69822 d competing EB hypothesis.,"2P: primary SNR=6.0149, secondary SNR=4.9985, secondary/primary=0.8259, odd/even=0.7303, OOT/depth=0.3422, coherence=strong (0.7803), secondary=concerning",gate_blocked_candidate_hold; primary_gate=gate4_oot_to_depth_ge_0.50; hold_gates=gate4_oot_to_depth_ge_0.50; penalties=gate2_fallback_period_context|weak_primary_depth_snr,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,v0.2 already blocked promotion through high OOT at P; the 2P evidence supplies the decisive failure mode.
EPIC_211912465,reject_as_noise_or_artifact,"Period-inconsistent and insufficiently reproducible event evidence across P/2, P, and 2P.","No credible period; P/2 = 6.005 d, P = 12.01 d, and 2P = 24.02 d are inconsistent and sparsely supported.",P/2/P/2P primary SNR=5.9948/29.2996/2.7215; OOT/depth=0/0.0558/0.4073; event support=4/5/4; baseline=insufficient_events/insufficient_events/insufficient_events,incomplete_or_uncertain_candidate_evidence; primary_gate=gate6_conservative_hold; hold_gates=none; penalties=gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,yes_for_non_promotion_and_recorded_v0_2_block,"Record cross-period inconsistency, event counts, and insufficient-baseline status as structured trace fields; retain conservative blocking behavior.",recording_change_only,A large 2P secondary metric is not treated as a reliable EB decision because the manual review found the competing-event selection implausible.
EPIC_211485867,false_positive_eb_or_variable,"Coherently repeated, near-equal primary and secondary eclipses at 2P.",2P = 11.5471039646 d eclipsing-binary hypothesis; nominal P is the half-period fold.,"2P: primary SNR=4.346, secondary SNR=3.9175, secondary/primary=0.901, odd/even=0.6997, OOT/depth=0.6839, coherence=strong (0.8347), secondary=concerning",incomplete_or_uncertain_candidate_evidence; primary_gate=gate6_conservative_hold; hold_gates=none; penalties=gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,v0.2 conservatively held the target but did not encode the decisive 2P EB interpretation.
EPIC_211387236,false_positive_eb_or_variable,"Strong coherent, near-equal primary and secondary eclipses at approximately 16.96 d.",2P = 16.9583 d eclipsing-binary hypothesis.,"2P: primary SNR=9.587, secondary SNR=8.5906, secondary/primary=0.9088, odd/even=0.6825, OOT/depth=0.6988, coherence=strong (0.7789), secondary=concerning",incomplete_or_uncertain_candidate_evidence; primary_gate=gate6_conservative_hold; hold_gates=none; penalties=gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,v0.2 conservatively held the target; 2P provides the decisive EB evidence.
EPIC_211889082,false_positive_eb_or_variable,"Broad coherent stellar modulation with unresolved period, odd/even concern, and near-equal structure at 2P.",2P = 3.7504047421 d variable/contact-binary hypothesis.,"2P: primary SNR=2.7726, secondary SNR=2.2298, secondary/primary=0.8704, odd/even=0.8629, OOT/depth=0.5913, coherence=moderate (0.6633), secondary=concerning",incomplete_or_uncertain_candidate_evidence; primary_gate=gate6_conservative_hold; hold_gates=none; penalties=gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,"The review supports a variable/contact-binary interpretation, not a planet-like promotion."
EPIC_211816343,false_positive_eb_or_variable,"Broad periodic modulation, very high OOT/depth, and near-equal structures at 2P.",2P = 1.29128 d EB/stellar-variable hypothesis.,"2P: primary SNR=1.5749, secondary SNR=1.6146, secondary/primary=1.0122, odd/even=0.9572, OOT/depth=0.5182, coherence=moderate (0.732), secondary=concerning",gate_blocked_candidate_hold; primary_gate=gate4_oot_to_depth_ge_0.50; hold_gates=gate4_oot_to_depth_ge_0.50; penalties=gate2_fallback_period_context,yes_for_non_promotion_but_not_for_decisive_2P_failure_mode,"Mandatory 2P competing-EB veto using the secondary assessment, secondary/primary depth ratio, secondary SNR, odd/even, coherence, and OOT context.",stage_g_logic_change_required,v0.2 correctly blocked promotion via OOT/depth; the explicit 2P veto would encode the decisive interpretation.
