review_batch,review_source_queue,reviewed_at,reviewer,epic_id,hold_rank,manual_label,manual_label_family,training_eligibility,manual_reason,reason_status,manual_vetted,gatevetter_v0_2_prediction,gatevetter_v0_2_reason,gatevetter_score,candidate_survivor_score,cnn_score,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_depth_snr,secondary_to_primary_depth_ratio,oot_to_depth,candidate_period_count,event_family_count,alias_risk,fallback_period_flag,duration_fraction_of_period,best_period_days,transit_duration_hours,period_source,period_ambiguity_flag,period_comparison_status,trusted_period_validation,metric_trust_level,stage_g_action,primary_gate,hard_gate_fired,hard_gates_fired,hold_gates_fired,risk_gates_fired,penalties_or_missing_evidence,rule_trace,score_components,notes
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211432946,5,low_priority_negative,negative,exclude_for_now,"Trusted refreshed period and high CNN morphology score with low alias risk and no clear secondary, but primary SNR is modest, odd/even ratio is borderline-poor at 0.727, OOT variability is high relative to depth at 0.783, and candidate_period_count is very large. Not candidate_like.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.702652,0.9650353789329529,0.00488545796169082,5.160458478200994,0.7266037970356642,-0.8732121300736926,-0.22085564413540681,0.7827408868485567,15,13,low,true,0.017964,3.41209,1.4710834557772607,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate3_odd_even_ratio_le_0.75,false,none,gate3_odd_even_ratio_le_0.75|gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context,Gate 3 hold: odd/even ratio <= 0.75; Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.434266|primary_depth_snr:0.128386|odd_even_support:0.06|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211504682,14,reject_as_noise_or_artifact,negative,exclude_for_now,"Trusted refreshed period and low alias risk, but the signal is extremely weak with primary_depth_snr=1.12 and primary_depth only 5.56e-05. OOT variability is high relative to depth at 0.918 and candidate_period_count is very large. Odd/even is acceptable but cannot rescue a near-non-detection.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.48561,0.48561,0.679133415222168,5.564661606838328e-05,1.1184237607935978,0.8303017005320215,0.0,0.0,0.9181745712292836,20,8,low,true,0.032057,5.73619,4.413256028608884,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.30561|primary_depth_snr:0.04|odd_even_support:0.06|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211518347,6,low_priority_negative,negative,exclude_for_now,"Trusted refreshed period, low alias risk, good odd/even ratio, and high CNN morphology score, but the transit evidence is weak. Primary_depth_snr is only 2.47, event support is low at 5, and OOT variability is high relative to depth at 0.904. Secondary metric is not a clean EB detection, but the phase/secondary region is not reassuring. Not candidate_like.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.687466,0.9943699240684509,0.00530373070024312,2.4702777833549527,0.8843183490034259,-0.46276520443897323,-0.25572843121682076,0.9040543095048562,31,5,low,true,0.033669,1.8205210026372463,1.4710894760792135,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.447466|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211592536,16,reject_as_noise_or_artifact,negative,exclude_for_now,"Period is ambiguous and untrusted, duration fraction is too large at 0.201, primary_depth_snr is only 0.56, odd/even and OOT diagnostics are unavailable due to period ambiguity, candidate_period_count is high at 970, and no convincing transit-like signal is visible.",complete_user_supplied,true,excluded_uncertain_hold,duration_fraction_ge_0_20_hold,0.05,0.290007,0.5555700063705444,0.000169782927848805,0.5569389400838022,,-0.0026853953634385476,-0.00607683914530999,,22,7,period_ambiguous,true,0.201183,1.72648,8.336110803822521,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate_v0_2_duration_fraction_ge_0_20,true,gate_v0_2_duration_fraction_ge_0_20,none,none,weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,Gate v0.2 hold: duration fraction is greater than or equal to 0.20 and below 0.35,cnn_morphology:0.250007|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.0,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211707161,1,uncertain_hold_positive,hold,exclude_for_now,"Promising hold. Trusted refreshed period with low alias risk, good odd/even ratio, very low OOT/d",incomplete_user_supplied_truncated,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.6,0.680899,0.6523032188415527,0.00031249232161312257,4.53106006882454,0.9207766587063917,,0.0,0.04866715247641532,16,13,low,true,0.10245,4.5869,11.278294706717134,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context,Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: missing diagnostics are not passes (secondary_depth_snr),cnn_morphology:0.293536|primary_depth_snr:0.127363|odd_even_support:0.12|oot_cleanliness:0.1|duration_sanity:0.04,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211781289,7,reject_as_noise_or_artifact,negative,exclude_for_now,"Trusted refreshed period and acceptable odd/even/secondary metrics, but the primary signal is extremely weak with primary_depth_snr=1.15. OOT variability exceeds the transit depth at oot_to_depth=1.13, event support is low, and CNN morphology score is not enough to rescue a near-non-detection.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.595645,0.7903218865394592,0.00031620806831134107,1.1482282817394556,0.8763362156836852,0.09148216301712406,0.08885343105898867,1.1271771233513923,28,6,moderate,true,0.016667,1.2259,0.49036478111520243,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.355645|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211792360,8,low_priority_negative,negative,exclude_for_now,"Trusted refreshed period with excellent odd/even agreement, no measured secondary, low alias risk, and good event-family support. However, primary SNR is only modest, duration is long-ish, candidate_period_count is very high, and OOT variability exceeds the transit depth at oot_to_depth=1.077. Not candidate_like.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.56043,0.6074951887130737,0.0025529760682168057,4.342717542674303,0.9853365206762844,0.0,0.0,1.0768649099043672,14,17,low,true,0.105758,3.47747,8.826504178228788,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.273373|primary_depth_snr:0.127057|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211892055,9,low_priority_negative,negative,exclude_for_now,"Trusted refreshed period with good odd/even agreement and no measured secondary, but the primary signal is extremely weak with primary_depth_snr=1.06. OOT variability is high relative to transit depth at oot_to_depth=0.920, alias risk is moderate, event support is limited, and candidate_period_count remains high. Not candidate_like.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.559891,0.7108688354492188,0.0002806507790013568,1.0576102806333858,0.9236701826746204,0.0,0.0,0.9200643525329399,19,7,moderate,true,0.080645,2.78688,5.393958757573271,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.319891|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211894518,10,low_priority_negative,negative,exclude_for_now,"Trusted refreshed period with acceptable odd/even ratio and moderate/high CNN morphology score, but the signal is weak with primary_depth_snr=1.86. OOT variability exceeds 50% of transit depth, duration fraction is high at 0.15 for a short 1.29-day period, and event support is limited. Not candidate_like.",complete_user_supplied,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.580584,0.8457432389259338,0.007289595474658572,1.8611970513057585,0.8899798338310015,-0.46198395159593597,-0.3710039647868678,0.5513386323672995,26,7,moderate,true,0.149999,1.29231,4.903619655815417,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.380584|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.04,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
gatevetter_v0_2_batch_next_top_hold_review,top_20_holds,2026-06-16,user_provided_manual_review,EPIC_211939094,2,uncertain_hold_period_ambiguous,hold,exclude_for_now,"Clear dip-like morphology and high CNN score, with moderate primary SNR and reasonable duration fraction, but period validation is untrusted/ambiguous. Odd/even and OOT diagnostics are unavailable, alias risk is period_ambiguous, and candidate_period_count is high. Do not promote to candidate_like until period is confirmed and odd/even/OOT diagnostics can be trusted.",complete_user_supplied,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.6,0.641813,0.9656868577003479,0.01670221923171833,4.464233087362185,,-1.417812674104406,-0.6175014130150895,,13,11,period_ambiguous,true,0.064286,0.953475,1.4710780922323463,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.434559|primary_depth_snr:0.127254|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,"Manual decisions are for ledgering, later analysis, and future training data; no threshold update."
