source_file,producing_script,column_name,meaning,units,missing_value_behaviour,period_dependence,safe_for_training,leakage_risk_or_policy
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,validation_period_days,Selected validation period,days,blank when unresolved,P,conditional,safe if period provenance retained
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,validation_period_source,Period-selection provenance,category,explicit period_ambiguous,P,conditional,safe; not the final class
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,primary_depth,Median primary-event depth,relative flux,0 or blank with missing-reason companion,P,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,primary_depth_snr,Primary depth signal-to-noise,dimensionless,0 or blank with missing reason,P,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,transit_duration_days|transit_duration_hours|duration_fraction_of_period,Event duration and period fraction,days; hours; fraction,blank with missing-reason companion,P,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,odd_depth_median|even_depth_median|odd_even_depth_ratio,Odd/even event depths and ratio,relative flux; ratio,blank for untrusted periods,P,yes,safe diagnostic; retain missingness
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,secondary_depth_phase_05|secondary_depth_snr|secondary_to_primary_depth_ratio,Phase-0.5 secondary evidence,relative flux; SNR; ratio,blank/0 with missing reason,P,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,oot_to_depth,Out-of-event variability relative to depth,ratio,blank for unusable depth/period,P,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,event_family_count|candidate_period_count,Event-family and period-candidate multiplicities,count,blank with reason,period search,yes,safe diagnostic
gatevetter_v0_2*_diagnostics.csv,scripts/run_gatevetter_v0_2_batch_n.py,period_ambiguity_flag|alias_*|half_period_support_count|double_period_support_count,Period ambiguity and alias support,boolean/count/ratio/days,explicit missing reasons,"P/2,P,2P",yes,safe except any final alias gate/decision
gatevetter_v0_2_deep_review_period_comparison.csv,scripts/prepare_gatevetter_v0_2_deep_review.py,period_role|period_days,Hypothesis identity and duration,category; days,row absent if view unavailable,"P/2,P,2P",yes,safe
gatevetter_v0_2_deep_review_period_comparison.csv,scripts/prepare_gatevetter_v0_2_deep_review.py,event_support_count|event_family_count|event_epoch_coverage,Event support and coverage,count; fraction,row/field may be blank,"P/2,P,2P",yes,safe
gatevetter_v0_2_deep_review_period_comparison.csv,scripts/prepare_gatevetter_v0_2_deep_review.py,event_stack_coherence_score|event_depth_mad_fraction|event_timing_rms_phase,"Stack coherence, depth stability, timing stability",score; fraction; phase,blank if unavailable,"P/2,P,2P",yes,safe numerical fields; exclude categorical verdict if rule-derived
gatevetter_v0_2_deep_review_period_comparison.csv,scripts/prepare_gatevetter_v0_2_deep_review.py,local_baseline_event_count|median_abs_baseline_slope_per_day|median_abs_left_right_offset|both_sidebands_fraction|baseline_*_depth_fraction,Local baseline stability diagnostics,count; relative flux/day; relative flux; fractions,blank if windows unavailable,"P/2,P,2P",yes,safe numerical fields
plots/k2_batch/master_vetted_catalog/master_vetted_catalog.csv,scripts/backfill_master_catalog_cnn_and_manual_queue.py,cnn_score,Frozen CNN max segment morphology probability,probability,blank if no tensor,not folded; 512-cadence segments,yes,safe; never use morphology_positive policy label
splits/infer_c5/X_infer.npy + meta_infer.parquet,src/Classifiers/K2/K2_Dataset_builder.py,flux channel + start/end/seg_mid_time,Robust-standardized 512-cadence flux segments and coordinates,robust scale; cadence index; time,EPIC absent when fetch/preprocess failed,not period dependent,yes,safe if split by EPIC
final ledgers / prediction CSVs,multiple,final_candidate_status|stage_h_training_label_v3|GateVetter prediction/recommendation/reason|manual_reason,Decision or target-derived fields,category/text,varies,n/a,NO,EXCLUDE: target leakage
